Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t29,0.0,-569.3696085202366,-3.2714935538157026e-5,8.60714890051474e-6,1717.7850852510014,-940.3355768180877,1299.9999882103423,-453.0607731184641,748.7828258584408,4299.999640362365,-1509.9999900980742,2867.328343915243,4414.0522133302,1663.3392449516193,0.00015719627149373718,51.08174028106323,-599.999971630173
t30,0.0,-1341.4958344416766,-5.1327236371938446e-5,2.24297763782895e-5,1712.1633512211213,-910.518598487028,1299.9999879396883,-480.0412470804873,754.9662749450808,4299.999652755185,-1509.9999885839911,2117.6123187398593,3678.7686873174553,1674.0645824466399,0.0001575372902608574,82.00633012365888,-599.9999716821638
t31,0.0,-1394.7356138284115,-6.0960251623781075e-5,1.3006429312951197e-5,1746.307762529375,-896.0227177385008,1299.9999879091583,-499.674569994895,784.8177695485576,4299.9996641401485,-1509.9999841315966,2063.237260034604,3481.7480009758824,1744.5387923033531,0.0001697957356391006,62.250199033301215,-599.9999726640051
t32,0.0,-1599.9998715140305,-561.715389188091,-0.00011929540437882794,1822.3225182460064,-944.5890329667483,1299.9999888179368,-448.05384584614325,541.2193683969151,4299.999688384172,-1509.9999846227213,1506.7244115331425,1352.315267860934,2579.9995418437343,66.83248530120751,760.0699150807637,-599.9999727696951
t33,0.0,-1599.9999809152112,-856.8579810585654,-759.9999728095504,1885.868651756221,-379.91670868190187,1299.99994362687,-487.33535260962736,2649.110586077325,4299.999660680703,-1509.9999356426479,3569.4224946397608,2954.4934421158546,2579.9999185533916,349.99989413196124,-196.41980915801406,-599.9999586834426
t34,0.0,-1599.9999937602909,-856.8579940828496,-759.9999822080551,1306.3027613633894,999.999991079861,708.8774173852287,-1003.6813164478438,4145.102187519907,4299.999375968381,1509.9999907448191,4029.5411490457163,3053.79283386834,2579.99998866935,349.99998887267446,-344.5126346163134,599.9976279878674
t35,0.0,-1599.9999965112386,-856.8579967245605,-759.9999793373992,1929.9999724492661,999.9999978238833,1262.2803894851909,-399.3216651930894,4983.271929638719,3583.62060350051,1509.9999970228073,5352.711928567734,3480.8485595636703,2579.999995788492,349.99999577702386,-357.08258646796054,599.9977910192493
t36,0.0,-1599.9999963156224,-856.8579965510695,-759.9999759018777,1929.9999835389888,999.9999978687582,1265.1533185194808,-351.04250468470144,4619.16698433392,3586.263367290307,1509.9999969752976,5431.736863435075,3584.4713528420607,2579.9999956662846,349.99999566466954,-330.7432939976358,599.9978316368429
t37,0.0,-1599.9999962644972,-856.8579965227991,-759.9999756799311,1929.9999848996501,999.9999978816687,1265.7913057201815,-351.34119250517915,4719.341210948242,3681.0464132537877,1509.999996936642,5587.510905880375,3819.7218472868663,2579.999995629434,349.9999956260204,-325.5008845630566,599.9978275732994
t38,0.0,-1599.999996333528,-856.8579965734936,-759.9999752485946,1929.9999844801443,999.999997910024,1265.8365015922777,-326.38537872645685,5310.356386160892,3949.4235147520094,1509.999997014079,6127.1431535852025,4595.786989129438,2579.9999956023817,349.9999956482021,-328.007621707082,599.9978431116805
t39,0.0,-1599.9999947124463,-856.8579821843517,-759.9999773879181,1929.9999843809987,999.9999979508292,1259.5901170139612,-420.2186216331629,6499.999970769836,4299.999996949125,1509.9999976223992,6949.999983166456,5919.819763592633,2579.999270568341,320.71531023036107,-368.8183600257088,599.9977989277796
t40,0.0,-1599.9999813297559,-856.8579808364772,-759.9999811681921,1725.4096054460038,999.9999264718109,1082.9369930510102,-838.5895301362133,6090.422641247824,4299.999575070715,1509.9998591214357,5459.7141389377775,4356.146289937429,2579.999288037091,216.84606314659555,-589.78598263311,599.9977773205205
t41,0.0,-1599.9998837310588,-856.8576878065744,-314.93207945481623,1929.9999621998309,82.03094458168923,1255.1286892893709,-424.1370216372619,4407.250834415729,4299.999628036776,-1509.999959535997,4872.314778169985,4202.063400816004,2442.1530316180547,0.0001832561557492343,-450.32524127668484,-599.9999489246978
t42,0.0,-1322.1269732313347,-1.905614587732812e-5,1.147621189492664e-5,1867.2159881801872,-999.9999539663697,1244.2993100228175,-845.643782643133,1533.5243171500297,4299.999603250997,-1509.9999734438031,1380.2811780497248,3284.024500444923,855.3915008780843,0.00015236872794561855,-1319.9999033140925,-599.9999513149646
t43,0.0,-1512.5019049848192,-1.7461247308312525e-5,1.5113130726033344e-5,1881.883174593836,-999.9999615653027,1212.4418097348516,-839.9526348034137,1993.9412627173817,4299.999616695832,-1509.9999757139517,1585.4533056482076,3268.7525626177803,969.0606165952236,0.0001564609287997135,-1319.9999039941654,-599.9999544984548
