model,zone,planning_year,case,unit,value,agg_zone,scenario,configuration,child_scenario
Switch,CANO,2040,20-week-foresight,kg,3821818.197,CA,base,foresight,none
Switch,CASO,2040,20-week-foresight,kg,5706410.104,CA,base,foresight,none
Switch,FRCC,2040,20-week-foresight,kg,9743998.595,SOU,base,foresight,none
Switch,ISNE,2040,20-week-foresight,kg,13288778.711,NE,base,foresight,none
Switch,MISC,2040,20-week-foresight,kg,3451803.18,MISO,base,foresight,none
Switch,MISE,2040,20-week-foresight,kg,2480942.471,MISO,base,foresight,none
Switch,MISS,2040,20-week-foresight,kg,7800691.026,MISO,base,foresight,none
Switch,MISW,2040,20-week-foresight,kg,5228589.482,MISO,base,foresight,none
Switch,NWPP,2040,20-week-foresight,kg,2048520.598,WECC,base,foresight,none
Switch,NYCW,2040,20-week-foresight,kg,1371904.182,NE,base,foresight,none
Switch,NYUP,2040,20-week-foresight,kg,2083126.204,NE,base,foresight,none
Switch,PJMC,2040,20-week-foresight,kg,3304110.519,PJM,base,foresight,none
Switch,PJMD,2040,20-week-foresight,kg,3744858.726,PJM,base,foresight,none
Switch,PJME,2040,20-week-foresight,kg,18262135.151,PJM,base,foresight,none
Switch,PJMW,2040,20-week-foresight,kg,12239986.26,PJM,base,foresight,none
Switch,RMRG,2040,20-week-foresight,kg,606874.938,WECC,base,foresight,none
Switch,SPPC,2040,20-week-foresight,kg,608017.881,SPP,base,foresight,none
Switch,SPPN,2040,20-week-foresight,kg,266349.606,SPP,base,foresight,none
Switch,SPPS,2040,20-week-foresight,kg,2862774.12,SPP,base,foresight,none
Switch,SRCA,2040,20-week-foresight,kg,4927303.217,SOU,base,foresight,none
Switch,SRCE,2040,20-week-foresight,kg,4722187.932,MISO,base,foresight,none
Switch,SRSE,2040,20-week-foresight,kg,7695096.784,SOU,base,foresight,none
Switch,SRSG,2040,20-week-foresight,kg,4616060.856,WECC,base,foresight,none
Switch,TRE,2040,20-week-foresight,kg,7550147.504,TRE,base,foresight,none
Switch,TREW,2040,20-week-foresight,kg,1520463.246,TRE,base,foresight,none
Switch,BASN,2045,20-week-foresight,kg,2990460.152,WECC,base,foresight,none
Switch,CANO,2045,20-week-foresight,kg,4000664.142,CA,base,foresight,none
Switch,CASO,2045,20-week-foresight,kg,5656248.037,CA,base,foresight,none
Switch,FRCC,2045,20-week-foresight,kg,10509562.925,SOU,base,foresight,none
Switch,ISNE,2045,20-week-foresight,kg,13398645.591,NE,base,foresight,none
Switch,MISC,2045,20-week-foresight,kg,3794285.795,MISO,base,foresight,none
Switch,MISE,2045,20-week-foresight,kg,2885415.091,MISO,base,foresight,none
Switch,MISS,2045,20-week-foresight,kg,8739728.825,MISO,base,foresight,none
Switch,MISW,2045,20-week-foresight,kg,5101647.375,MISO,base,foresight,none
Switch,NWPP,2045,20-week-foresight,kg,2133210.193,WECC,base,foresight,none
Switch,NYCW,2045,20-week-foresight,kg,1378953.716,NE,base,foresight,none
Switch,NYUP,2045,20-week-foresight,kg,2237845.105,NE,base,foresight,none
Switch,PJMC,2045,20-week-foresight,kg,3259692.17,PJM,base,foresight,none
Switch,PJMD,2045,20-week-foresight,kg,3408153.198,PJM,base,foresight,none
Switch,PJME,2045,20-week-foresight,kg,17226541.254,PJM,base,foresight,none
Switch,PJMW,2045,20-week-foresight,kg,13433682.463,PJM,base,foresight,none
Switch,RMRG,2045,20-week-foresight,kg,682268.631,WECC,base,foresight,none
Switch,SPPC,2045,20-week-foresight,kg,686743.418,SPP,base,foresight,none
Switch,SPPN,2045,20-week-foresight,kg,365608.059,SPP,base,foresight,none
Switch,SPPS,2045,20-week-foresight,kg,2915030.593,SPP,base,foresight,none
Switch,SRCA,2045,20-week-foresight,kg,5679058.898,SOU,base,foresight,none
Switch,SRCE,2045,20-week-foresight,kg,5126248.644,MISO,base,foresight,none
Switch,SRSE,2045,20-week-foresight,kg,8539030.659,SOU,base,foresight,none
Switch,SRSG,2045,20-week-foresight,kg,4624214.973,WECC,base,foresight,none
Switch,TRE,2045,20-week-foresight,kg,8614151.662,TRE,base,foresight,none
Switch,TREW,2045,20-week-foresight,kg,1454444.78,TRE,base,foresight,none
Switch,BASN,2050,20-week-foresight,kg,2256210.041,WECC,base,foresight,none
Switch,CANO,2050,20-week-foresight,kg,3308059.218,CA,base,foresight,none
Switch,CASO,2050,20-week-foresight,kg,4666990.856,CA,base,foresight,none
