model,line_name,planning_year,case,unit,value,end_value,line,start_region,dest_region
GenX,MISE_to_MISW,2035,20-week-foresight,MW,5.0,,22.0,MISE,MISW
GenX,MISE_to_PJMW,2035,20-week-foresight,MW,1.0,,23.0,MISE,PJMW
GenX,MISS_to_SPPC,2035,20-week-foresight,MW,3.0,,24.0,MISS,SPPC
GenX,MISS_to_SPPS,2035,20-week-foresight,MW,10.0,,25.0,MISS,SPPS
GenX,MISS_to_SRCE,2035,20-week-foresight,MW,1.0,,26.0,MISS,SRCE
GenX,MISS_to_SRSE,2035,20-week-foresight,MW,10.0,,27.0,MISS,SRSE
GenX,MISW_to_NWPP,2035,20-week-foresight,MW,3.0,,28.0,MISW,NWPP
GenX,MISW_to_PJMC,2035,20-week-foresight,MW,3.0,,29.0,MISW,PJMC
GenX,MISW_to_SPPC,2035,20-week-foresight,MW,222.0,,30.0,MISW,SPPC
GenX,MISW_to_SPPN,2035,20-week-foresight,MW,0.0,,31.0,MISW,SPPN
GenX,NWPP_to_RMRG,2035,20-week-foresight,MW,1058.0,,32.0,NWPP,RMRG
GenX,NYCW_to_NYUP,2035,20-week-foresight,MW,5.0,,33.0,NYCW,NYUP
GenX,NYCW_to_PJME,2035,20-week-foresight,MW,3152.0,,34.0,NYCW,PJME
GenX,NYUP_to_PJME,2035,20-week-foresight,MW,6649.0,,35.0,NYUP,PJME
GenX,PJMC_to_PJMW,2035,20-week-foresight,MW,420.0,,36.0,PJMC,PJMW
GenX,PJMD_to_PJME,2035,20-week-foresight,MW,1683.0,,37.0,PJMD,PJME
GenX,PJMD_to_PJMW,2035,20-week-foresight,MW,2.0,,38.0,PJMD,PJMW
GenX,PJMD_to_SRCA,2035,20-week-foresight,MW,1153.0,,39.0,PJMD,SRCA
GenX,PJME_to_PJMW,2035,20-week-foresight,MW,10327.0,,40.0,PJME,PJMW
GenX,PJMW_to_SRCA,2035,20-week-foresight,MW,0.0,,41.0,PJMW,SRCA
GenX,PJMW_to_SRCE,2035,20-week-foresight,MW,1.0,,42.0,PJMW,SRCE
GenX,RMRG_to_SPPC,2035,20-week-foresight,MW,25.0,,43.0,RMRG,SPPC
GenX,RMRG_to_SPPN,2035,20-week-foresight,MW,41.0,,44.0,RMRG,SPPN
GenX,RMRG_to_SRSG,2035,20-week-foresight,MW,2.0,,45.0,RMRG,SRSG
GenX,SPPC_to_SPPN,2035,20-week-foresight,MW,3.0,,46.0,SPPC,SPPN
GenX,SPPC_to_SPPS,2035,20-week-foresight,MW,2.0,,47.0,SPPC,SPPS
GenX,SPPN_to_SPPS,2035,20-week-foresight,MW,1.0,,48.0,SPPN,SPPS
