case,tech_type,planning_year,agg_zone,value,min,max
20-week-foresight,Natural Gas CC,2027,NE,125007210.0,114321970.0,135964745.0
20-week-foresight,Natural Gas CC,2027,PJM,416728100.3333333,409507490.0,430413798.0
20-week-foresight,Natural Gas CC,2027,SOU,349696721.0,321488074.0,394351738.0
20-week-foresight,Natural Gas CC,2027,SPP,44175469.0,33342995.0,52730540.0
20-week-foresight,Natural Gas CC,2027,TRE,143469028.0,123795528.0,155476094.0
20-week-foresight,Natural Gas CC,2027,WECC,76319599.66666667,42947129.0,121597453.0
20-week-foresight,Natural Gas CC,2030,CA,32900149.0,26621949.0,43344478.0
20-week-foresight,Natural Gas CC,2030,MISO,107431613.0,79290287.0,162021887.0
20-week-foresight,Natural Gas CC,2030,NE,51359854.333333336,43371934.0,59525664.0
20-week-foresight,Natural Gas CC,2030,PJM,177345623.0,142596332.0,240074491.0
20-week-foresight,Natural Gas CC,2030,SOU,104867799.0,56503294.0,173026816.0
20-week-foresight,Natural Gas CC,2030,SPP,19039403.666666668,13839115.0,28789934.0
20-week-foresight,Natural Gas CC,2030,TRE,57466263.0,41680659.0,82918505.0
20-week-foresight,Natural Gas CC,2030,WECC,30863640.0,21061262.0,47108118.0
20-week-foresight,Natural Gas CC,2035,CA,19650829.333333332,15721877.0,24280189.0
20-week-foresight,Natural Gas CC,2035,MISO,70823106.66666667,45875346.0,119797467.0
20-week-foresight,Natural Gas CC,2035,NE,48027056.0,40230859.0,57076790.0
20-week-foresight,Natural Gas CC,2035,PJM,113391068.0,93532061.0,146014498.0
20-week-foresight,Natural Gas CC,2035,SOU,64598276.333333336,39870081.0,100291251.0
20-week-foresight,Natural Gas CC,2035,SPP,13691105.0,8441719.0,22945275.0
20-week-foresight,Natural Gas CC,2035,TRE,32443674.666666668,14401284.0,67187518.0
20-week-foresight,Natural Gas CC,2035,WECC,23169572.0,16484190.0,33280473.0
20-week-foresight,Natural Gas CC,2040,CA,16806778.0,13915826.0,19529653.0
20-week-foresight,Natural Gas CC,2040,MISO,54352851.0,32747098.0,86921523.0
20-week-foresight,Natural Gas CC,2040,NE,44104588.666666664,33090103.0,53924006.0
20-week-foresight,Natural Gas CC,2040,PJM,82759957.66666667,61360032.0,108109151.0
20-week-foresight,Natural Gas CC,2040,SOU,50504216.333333336,34601513.0,75128185.0
20-week-foresight,Natural Gas CC,2040,SPP,11272513.333333334,6272851.0,18762237.0
20-week-foresight,Natural Gas CC,2040,TRE,26594143.0,13149257.0,49676500.0
20-week-foresight,Natural Gas CC,2040,WECC,25727984.333333332,18511202.0,33431829.0
20-week-foresight,Natural Gas CC,2045,CA,15472895.666666666,12848445.0,18234638.0
20-week-foresight,Natural Gas CC,2045,MISO,49830199.666666664,34095923.0,71030771.0
20-week-foresight,Natural Gas CC,2045,NE,44613858.333333336,35990386.0,52057233.0
20-week-foresight,Natural Gas CC,2045,PJM,77210476.0,59110885.0,98975847.0
20-week-foresight,Natural Gas CC,2045,SOU,51538216.333333336,36799889.0,72619126.0
20-week-foresight,Natural Gas CC,2045,SPP,10539822.333333334,6360524.0,16479344.0
20-week-foresight,Natural Gas CC,2045,TRE,26027344.0,14472259.0,45271060.0
20-week-foresight,Natural Gas CC,2045,WECC,24674564.333333332,19464366.0,30864031.0
20-week-foresight,Natural Gas CC,2050,CA,12996418.333333334,11277084.0,15895530.0
