case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2040,Natural Gas CT,NE,4014.7
20-week-foresight,2040,Natural Gas CT,PJM,30615.0
20-week-foresight,2040,Natural Gas CT,SOU,31745.7
20-week-foresight,2040,Natural Gas CT,SPP,10434.0
20-week-foresight,2040,Natural Gas CT,TRE,10393.0
20-week-foresight,2040,Natural Gas CT,WECC,9273.3
20-week-foresight,2040,Nuclear,CA,2.5
20-week-foresight,2040,Nuclear,MISO,20324.0
20-week-foresight,2040,Nuclear,NE,6717.3
20-week-foresight,2040,Nuclear,PJM,33765.7
20-week-foresight,2040,Nuclear,SOU,23928.7
20-week-foresight,2040,Nuclear,SPP,2028.0
20-week-foresight,2040,Nuclear,TRE,5122.0
20-week-foresight,2040,Nuclear,WECC,5179.3
20-week-foresight,2040,Solar,CA,53664.3
20-week-foresight,2040,Solar,MISO,108728.3
20-week-foresight,2040,Solar,NE,31156.7
20-week-foresight,2040,Solar,PJM,123125.3
20-week-foresight,2040,Solar,SOU,120946.3
20-week-foresight,2040,Solar,SPP,32964.3
20-week-foresight,2040,Solar,TRE,45163.3
20-week-foresight,2040,Solar,WECC,78851.7
20-week-foresight,2040,Wind,CA,6348.3
20-week-foresight,2040,Wind,MISO,146622.3
20-week-foresight,2040,Wind,NE,45926.0
20-week-foresight,2040,Wind,PJM,43518.7
20-week-foresight,2040,Wind,SOU,31919.7
20-week-foresight,2040,Wind,SPP,119628.7
20-week-foresight,2040,Wind,TRE,107632.7
20-week-foresight,2040,Wind,WECC,140371.3
20-week-foresight,2045,Battery,CA,4701.0
20-week-foresight,2045,Battery,MISO,1564.7
20-week-foresight,2045,Battery,NE,15430.3
20-week-foresight,2045,Battery,PJM,8466.0
20-week-foresight,2045,Battery,SOU,796.3
20-week-foresight,2045,Battery,SPP,146.0
20-week-foresight,2045,Battery,TRE,70.0
20-week-foresight,2045,Battery,WECC,8417.3
20-week-foresight,2045,CCS,CA,30303.3
20-week-foresight,2045,CCS,MISO,74873.7
20-week-foresight,2045,CCS,NE,
20-week-foresight,2045,CCS,PJM,71544.0
20-week-foresight,2045,CCS,SOU,65032.3
20-week-foresight,2045,CCS,SPP,159.0
20-week-foresight,2045,CCS,TRE,25945.0
20-week-foresight,2045,CCS,WECC,5762.3
20-week-foresight,2045,Coal,CA,0.0
20-week-foresight,2045,Coal,MISO,21135.7
20-week-foresight,2045,Coal,NE,0.0
20-week-foresight,2045,Coal,PJM,6980.0
20-week-foresight,2045,Coal,SOU,11849.7
20-week-foresight,2045,Coal,SPP,8526.7
20-week-foresight,2045,Coal,TRE,5567.7
20-week-foresight,2045,Coal,WECC,8579.7
20-week-foresight,2045,Distributed Solar,CA,16636.7
20-week-foresight,2045,Distributed Solar,MISO,20977.0
20-week-foresight,2045,Distributed Solar,NE,9505.3
20-week-foresight,2045,Distributed Solar,PJM,22343.7
20-week-foresight,2045,Distributed Solar,SOU,16225.3
20-week-foresight,2045,Distributed Solar,SPP,5523.3
20-week-foresight,2045,Distributed Solar,TRE,9352.3
20-week-foresight,2045,Distributed Solar,WECC,10493.3
20-week-foresight,2045,Geothermal,CA,30.7
20-week-foresight,2045,Geothermal,MISO,
20-week-foresight,2045,Geothermal,NE,
20-week-foresight,2045,Geothermal,PJM,
20-week-foresight,2045,Geothermal,SOU,
20-week-foresight,2045,Geothermal,SPP,
20-week-foresight,2045,Geothermal,TRE,
20-week-foresight,2045,Geothermal,WECC,280.0
