Constraint,CapRes_1,CapRes_2,CapRes_3
t48,1.2086671814861046e-10,9.740744342909276e-11,1.3998995594818189e-11
t49,1.2607553516826211e-10,9.39542804782932e-11,-1.5025466299621363e-12
t50,8.194534316587835e-11,1.1735303153764515e-10,1.2412961543016212e-11
t51,7.339915644759897e-11,8.327867035127749e-11,1.1878802640276961e-11
t52,1.0890717209915182e-10,7.230153417123649e-11,9.99903572329339e-12
t53,8.289535280505204e-11,9.525495576749585e-11,1.3960990529423823e-11
t54,8.352870216425596e-11,1.0795410886612989e-10,1.3191155678098091e-11
t55,9.095247424394453e-11,9.54616230971749e-11,1.4535651749640254e-11
t56,1.0536255281899761e-10,1.1649396997533798e-10,5.74784424029489e-12
t57,1.1890994596188862e-10,1.1955833579553136e-10,8.802871030221072e-12
t58,1.3007407433381547e-10,1.2613626899158827e-10,3.2393369405553742e-12
t59,1.2319351611834564e-10,1.3130819334745868e-10,9.307773212904517e-12
t60,1.4081431612804217e-10,1.0870717086778222e-10,1.429782978429546e-11
t61,1.5666209061849606e-10,1.3772364885680842e-10,9.925739083892715e-12
t62,1.5531162052817186e-10,1.2082036898005086e-10,1.4505620088590433e-11
t63,1.7958320840505264e-10,1.4877236056128724e-10,1.4976135355471234e-11
t64,1.5851396184081799e-10,1.4739718603275797e-10,1.0420433691590282e-11
t65,1.7146557034878938e-10,1.0735885141868503e-10,1.549861448952433e-13
t66,1.1710615082030642e-10,1.064679578998668e-10,1.6277348288339954e-11
t67,1.6795980393532753e-10,9.728498794926182e-11,1.702487722049808e-11
t68,1.7867495591635824e-10,1.2842828181311526e-10,1.095966395207773e-11
t69,1.8262015506222508e-10,1.3062770073363156e-10,1.866479358132978e-11
t70,1.7252633562749206e-10,7.020316290677252e-11,1.4715212138711475e-11
t71,1.4836372224608875e-10,6.436811784025996e-11,1.4257957465827482e-11
t72,1.2838601589509655e-10,6.229715386603339e-11,1.2203538125891118e-11
t73,1.3388896288193886e-10,1.0712804972404439e-10,1.0818353609637383e-11
t74,1.0565160149135185e-10,5.801642022702146e-11,1.005316867249648e-11
t75,6.628816433619518e-11,9.624332316992344e-11,9.702920368496628e-12
t76,1.061193365965233e-10,8.843003470108417e-11,1.0921608563034852e-11
t77,6.99940871337619e-11,4.3156063947933955e-11,1.419916469281969e-11
t78,9.314443071141296e-11,8.871097624849835e-11,1.062194051762667e-11
t79,8.145330181625235e-11,1.0046757163072416e-10,9.285590231344229e-12
t80,8.752267292879015e-11,7.243873216480944e-11,9.620427736495008e-12
t81,1.0355440045561208e-10,9.861812066670044e-11,1.0013018736718328e-11
t82,1.0129294001420102e-10,1.0513689797529463e-10,1.018211729178019e-11
t83,1.0532496406925355e-10,1.1287268644296395e-10,1.0838385478671723e-11
t84,1.2976219168803129e-10,1.0506447331318662e-10,1.1001421005999131e-11
t85,1.1284665070192725e-10,1.0064544599513221e-10,1.0933096005051755e-11
t86,1.1668929382461655e-10,8.388218247361e-11,1.0761370630716295e-11
t87,1.1113910913108181e-10,8.136916762291846e-11,1.1240957105423157e-11
t88,1.082388359766017e-10,8.018829123775464e-11,1.0973298799657617e-11
t89,1.1388815945574617e-10,7.798730894392484e-11,1.166369150106482e-11
t90,1.1607982459897038e-10,7.475102120994488e-11,1.2614762162933625e-11
t91,1.1096951205695815e-10,6.601026387083976e-11,1.522484062112165e-11
t92,1.0689631426647912e-10,1.2800807151044006e-10,2.2820402275504372e-11
t93,9.772154493654119e-11,6.614177584427557e-11,2.002835640413166e-11
t94,1.062640702732683e-10,6.316738198404796e-11,1.6157728657937255e-11
t95,9.901566281332296e-11,6.078449363591877e-11,1.438970545469755e-11
t96,8.995286649015401e-11,5.828309292025776e-11,1.2078188268585071e-11
t97,1.1686246113841843e-10,1.1625565855788631e-10,1.8987596572873028e-11
t98,1.1272872796527811e-10,9.056781284753424e-11,1.757987294257834e-11
t99,1.1089386578866408e-10,8.966617229929996e-11,1.7626989094249064e-11
t100,1.0621275012283734e-10,8.832714927685971e-11,1.7146884210526763e-11
t101,1.0920201910682225e-10,8.948507844365958e-11,1.8572932840464794e-11
t102,1.0655241318683389e-10,1.0556170060785708e-10,2.362005961937039e-11
t103,1.1982230992377283e-10,1.052344033097978e-10,2.7574296651557728e-11
t104,1.4532807420498015e-10,1.0931332078348375e-10,3.001108805516883e-11
t105,2.65058418384634e-10,2.8229166202771826e-10,3.306435033672536e-11
t106,1.80810228757283e-10,1.2425844654933668e-10,2.338087996749196e-11
t107,1.8687437850347835e-10,1.3707063165888093e-10,1.85877366770504e-11
t108,1.7119938175047673e-10,1.4150197569899658e-10,1.5476909272803426e-11
t109,1.6908602881148444e-10,1.39179881850082e-10,1.4218477680936032e-11
t110,1.5317307515955078e-10,1.3630512835984763e-10,1.3767203201874481e-11
t111,1.490526133944392e-10,1.3567328038568331e-10,1.3346967742618024e-11
t112,1.2906629715794437e-10,1.2598355960227815e-10,1.396623960104357e-11
t113,1.2834289948773918e-10,1.1758864895681731e-10,1.695300990409415e-11
