Constraint,CapRes_1,CapRes_2,CapRes_3
t210,0.022060218372973738,0.012603429549523043,0.012603434304727266
t211,0.013481258774915418,0.004751611883612697,4.49625416673145e-8
t212,3.838629057278581e-9,1.1339462947080436e-8,2.152541898816129e-9
t213,5.086768354525552e-9,3.231502695886817e-9,5.960251724346526e-10
t214,2.0520534343714005e-9,3.1384972752723346e-9,3.55567945701755e-10
t215,4.056058278193853e-10,7.408260566617303e-10,7.314318574535571e-11
t216,4.883130792719359e-10,1.2833812997840291e-9,1.123032658669697e-10
t217,7.401708680016385e-10,3.3978049540309884e-10,-1.786001697235525e-11
t218,7.068376274837281e-10,1.9754959445893192e-10,5.455516050067977e-11
t219,2.341649555339068e-10,7.563232614732884e-10,7.907385342655565e-11
t220,1.6118736390245203e-10,1.7087936874349514e-10,3.9653545949274375e-11
t221,1.3457773385921635e-10,1.8283398829191132e-10,3.566285834868652e-11
t222,1.899173086080612e-10,2.0211910127719366e-10,3.684685626625186e-11
t223,1.5184682770886045e-10,1.7568238585673444e-10,3.705083675282159e-11
t224,2.1369089165461413e-10,1.271427574924627e-9,4.148263237720697e-11
t225,3.1504846058914763e-10,1.6595464508413645e-9,3.397971214649187e-11
t226,4.6195016330747877e-10,3.0879593113449266e-10,3.82807599166944e-11
t227,1.8517300576457e-9,1.943045404967512e-9,4.857718655025743e-11
t228,0.013481085771379112,2.308242052304914e-9,5.706953835331078e-11
t229,0.013481211310036656,2.4169590367634538e-9,5.657899369341795e-11
t230,0.013481223682820506,1.929925795403407e-9,5.6858761602336055e-11
t231,0.013481247830451742,4.682685306567072e-10,9.993187021331533e-11
t232,0.013481246094384882,3.997966130677986e-10,1.3793140437931027e-9
t233,0.013481247740477226,5.673084063281879e-10,0.0023364349452370168
t234,0.013481260396884203,3.6823680409610506e-9,0.012603418857476283
t235,0.013481264501404343,1.943590839145336e-8,0.0023364094468797804
t236,0.013481259360677539,2.0226206976109013e-7,3.9505908493001477e-10
t237,0.012416389993524107,7.807948214129649e-10,5.861734891480129e-10
t238,0.007011258672913577,2.6039371630550863e-10,8.815407049145221e-11
t239,3.297300967288711e-9,2.032659469433822e-10,6.075838628544739e-11
t240,9.397842682418498e-10,1.9942587342459371e-10,4.6112664269625695e-11
t241,2.573811530139974e-10,1.8801221912726424e-10,3.1416882167819084e-11
t242,1.5850281061220315e-10,2.0014376063386495e-10,3.041242913497213e-11
t243,1.2097592007946024e-10,1.368322683277321e-10,2.983929517459885e-11
t244,1.1583968318125053e-10,1.373313831526297e-10,3.022546044682899e-11
t245,1.0827057543037102e-10,1.4089861641147622e-10,3.0123115151803336e-11
t246,3.533506236062469e-10,1.569645595631141e-10,3.511410539593864e-11
t247,1.275560665399401e-10,1.7426633313831e-10,3.983064817466372e-11
t248,1.4860390664227142e-10,2.442226927896058e-10,4.180782739942388e-11
t249,2.2620331166950387e-10,3.3381269370128055e-10,3.9004885601017875e-11
t250,3.6040796334281285e-10,2.0705064702584616e-9,4.7643098820666864e-11
t251,1.0923425714908856e-9,2.7607643689262676e-9,8.165902953384088e-11
t252,1.3962902971851944e-9,3.528395970460291e-9,1.187588901191397e-10
t253,0.013481267696700047,2.5419097045370984e-8,3.1215912727745303e-10
t254,0.013480990654023433,3.1026896084683265e-9,6.082494493559925e-10
t255,0.013481257172870504,7.840028692591304e-9,0.008681766831965063
t256,0.013481266288851287,4.016265262102494e-8,0.013481265692466726
t257,2.4006935470203556,2.3912365869213303,2.8733840817966727
t258,2.581919948730525,2.391237497507556,2.873384090599335
t259,2.4106725057523706,2.391237498966586,2.873384092537018
t260,2.803115727835631,2.565980209363027,2.8607806426235225
t261,2.379479015994221,2.381251086614183,2.44481046680802
t262,2.3664607212668187,2.368995067089244,2.4213647189530505
t263,0.04606453603044249,0.04930264421690462,5.295727037475217e-10
t264,4.846487493325332e-9,2.440088178578327e-9,6.31478604016663e-11
t265,1.490285560927866e-9,4.453942769344188e-10,4.237117706352824e-11
t266,8.907946499546844e-10,2.417090411052929e-10,4.2972601075147856e-11
t267,1.9589992630565222e-10,8.264083079859415e-10,3.820742914558236e-11
t268,1.8559978831453015e-10,2.099173183907905e-10,3.5284886369730686e-11
