model,line_name,planning_year,case,unit,value,end_value,line,start_region,dest_region,km,end_cap,start_cap,cap
GenX,BASN_to_CASO,2030,full-base-1000,MW,215.0,,2.0,BASN,CASO,1052.8154002870249,,,0.204193
GenX,BASN_to_NWPP,2030,full-base-1000,MW,90.0,,3.0,BASN,NWPP,2143.6820330805017,,,0.0418357
GenX,BASN_to_RMRG,2030,full-base-1000,MW,145.0,,4.0,BASN,RMRG,1478.968739910536,,,0.0983034
GenX,BASN_to_SRSG,2030,full-base-1000,MW,91.0,,5.0,BASN,SRSG,1196.8856954277987,,,0.0761106
GenX,CANO_to_CASO,2030,full-base-1000,MW,47.0,,6.0,CANO,CASO,678.496525078502,,,0.0697957
GenX,CANO_to_NWPP,2030,full-base-1000,MW,79.0,,7.0,CANO,NWPP,1302.6110658309303,,,0.0604585
GenX,NWPP_to_CASO,2030,full-base-1000,MW,70.0,,8.0,NWPP,CASO,1859.1210098249196,,,0.0375532
GenX,CASO_to_SRSG,2030,full-base-1000,MW,1772900.0,,9.0,CASO,SRSG,670.4280089248628,,,2644.43
GenX,FRCC_to_SRSE,2030,full-base-1000,MW,11.0,,10.0,FRCC,SRSE,930.705776696937,,,0.012139
GenX,ISNE_to_NYCW,2030,full-base-1000,MW,6.0,,11.0,ISNE,NYCW,208.76319678780865,,,0.0303646
GenX,ISNE_to_NYUP,2030,full-base-1000,MW,2159698.0,,12.0,ISNE,NYUP,422.4133412443229,,,5112.76
GenX,MISC_to_MISE,2030,full-base-1000,MW,1626857.0,,13.0,MISC,MISE,993.3851724175372,,,1637.69
GenX,MISS_to_MISC,2030,full-base-1000,MW,296.0,,14.0,MISS,MISC,1432.2313664952487,,,0.206762
GenX,MISW_to_MISC,2030,full-base-1000,MW,37.0,,15.0,MISW,MISC,1370.4981771620598,,,0.0268759
GenX,MISC_to_PJMC,2030,full-base-1000,MW,37.0,,16.0,MISC,PJMC,626.2046711986147,,,0.0587777
GenX,MISC_to_PJMW,2030,full-base-1000,MW,32.0,,17.0,MISC,PJMW,636.7767278564246,,,0.0504165
GenX,MISC_to_SPPC,2030,full-base-1000,MW,3244505.0,,18.0,MISC,SPPC,696.0754685319118,,,4661.14
GenX,MISC_to_SPPN,2030,full-base-1000,MW,1690526.0,,19.0,MISC,SPPN,919.2234841721058,,,1839.08
GenX,MISC_to_SPPS,2030,full-base-1000,MW,4036490.0,,20.0,MISC,SPPS,1164.3004320004338,,,3466.88
GenX,MISC_to_SRCE,2030,full-base-1000,MW,82.0,,21.0,MISC,SRCE,807.5788459671032,,,0.102069
GenX,MISE_to_MISW,2030,full-base-1000,MW,1434793.0,,22.0,MISE,MISW,1338.0895372438338,,,1072.27
GenX,PJMW_to_MISE,2030,full-base-1000,MW,27.0,,23.0,PJMW,MISE,672.2944948093907,,,0.0401213
GenX,MISS_to_SPPC,2030,full-base-1000,MW,3869129.0,,24.0,MISS,SPPC,1264.309793619994,,,3060.27
GenX,MISS_to_SPPS,2030,full-base-1000,MW,18385656.0,,25.0,MISS,SPPS,1083.4402589451677,,,16969.7
GenX,MISS_to_SRCE,2030,full-base-1000,MW,1.0,,26.0,MISS,SRCE,910.5740119711644,,,0.000865782
GenX,MISS_to_SRSE,2030,full-base-1000,MW,6323447.0,,27.0,MISS,SRSE,825.7437764420143,,,7657.88
GenX,MISW_to_NWPP,2030,full-base-1000,MW,598.0,,28.0,MISW,NWPP,14040.700523946523,,,0.0426185
GenX,MISW_to_PJMC,2030,full-base-1000,MW,4279911.0,,29.0,MISW,PJMC,577.3769837220765,,,7412.68
GenX,MISW_to_SPPC,2030,full-base-1000,MW,3024.0,,30.0,MISW,SPPC,1195.0293103479462,,,2.53034
GenX,MISW_to_SPPN,2030,full-base-1000,MW,110.0,,31.0,MISW,SPPN,1014.1486283848258,,,0.108513
GenX,NWPP_to_RMRG,2030,full-base-1000,MW,585887.0,,32.0,NWPP,RMRG,256.39318164425606,,,2285.11
GenX,NYCW_to_NYUP,2030,full-base-1000,MW,595212.0,,33.0,NYCW,NYUP,319.03239545042265,,,1865.68
GenX,NYCW_to_PJME,2030,full-base-1000,MW,17550.0,,34.0,NYCW,PJME,81.02077938846139,,,216.612
GenX,NYUP_to_PJME,2030,full-base-1000,MW,1211814.0,,35.0,NYUP,PJME,316.61636032760543,,,3827.39
GenX,PJMC_to_PJMW,2030,full-base-1000,MW,4488018.0,,36.0,PJMC,PJMW,484.9526117173539,,,9254.55
GenX,PJMD_to_PJME,2030,full-base-1000,MW,380339.0,,37.0,PJMD,PJME,139.26433395480618,,,2731.06
GenX,PJMD_to_PJMW,2030,full-base-1000,MW,185.0,,38.0,PJMD,PJMW,493.7545177764829,,,0.37495
GenX,PJMD_to_SRCA,2030,full-base-1000,MW,8.0,,39.0,PJMD,SRCA,525.2547915890101,,,0.0160786
GenX,PJME_to_PJMW,2030,full-base-1000,MW,1630110.0,,40.0,PJME,PJMW,482.9870637110515,,,3375.06
GenX,PJMW_to_SRCA,2030,full-base-1000,MW,170.0,,41.0,PJMW,SRCA,900.2912298442393,,,0.188513
GenX,PJMW_to_SRCE,2030,full-base-1000,MW,41.0,,42.0,PJMW,SRCE,542.940224506259,,,0.0749299
GenX,RMRG_to_SPPC,2030,full-base-1000,MW,5490423.0,,43.0,RMRG,SPPC,936.6269837220768,,,5861.91
GenX,RMRG_to_SPPN,2030,full-base-1000,MW,1185704.0,,44.0,RMRG,SPPN,780.5713741841813,,,1519.02
GenX,RMRG_to_SRSG,2030,full-base-1000,MW,674738.0,,45.0,RMRG,SRSG,1451.9389962866967,,,464.715
GenX,SPPC_to_SPPN,2030,full-base-1000,MW,64.0,,46.0,SPPC,SPPN,261.19343417595013,,,0.246686
GenX,SPPC_to_SPPS,2030,full-base-1000,MW,475.0,,47.0,SPPC,SPPS,455.0277413171593,,,1.04302
GenX,SPPN_to_SPPS,2030,full-base-1000,MW,3408614.0,,48.0,SPPN,SPPS,679.4249275747745,,,5016.91
GenX,SPPS_to_SRSG,2030,full-base-1000,MW,10194856.0,,49.0,SPPS,SRSG,1530.6511537017682,,,6660.47
GenX,SPPS_to_TRE,2030,full-base-1000,MW,3623803.0,,50.0,SPPS,TRE,501.3042951289656,,,7228.75
GenX,SPPS_to_TREW,2030,full-base-1000,MW,2756590.0,,51.0,SPPS,TREW,594.5912331781975,,,4636.11
GenX,SRCA_to_SRCE,2030,full-base-1000,MW,4.0,,52.0,SRCA,SRCE,1047.313910703395,,,0.0041048
GenX,SRCA_to_SRSE,2030,full-base-1000,MW,309.0,,53.0,SRCA,SRSE,750.9564568673488,,,0.411473
GenX,SRCE_to_SRSE,2030,full-base-1000,MW,1.0,,54.0,SRCE,SRSE,808.9930595294763,,,0.000784392
GenX,TREW_to_TRE,2030,full-base-1000,MW,37.0,,55.0,TREW,TRE,694.9819646586291,,,0.0534042
GenX,NWPP_to_SPPN,2030,full-base-1000,MW,3381287.0,,56.0,NWPP,SPPN,2877.9361274282305,,,1174.9
GenX,SRSG_to_TRE,2030,full-base-1000,MW,3700465.0,,57.0,SRSG,TRE,1692.23667175099,,,2186.73
GenX,BASN_to_CANO,2035,full-base-1000,MW,42.0,,1.0,BASN,CANO,1613.3847128003597,,,0.026122
GenX,BASN_to_CASO,2035,full-base-1000,MW,11.0,,2.0,BASN,CASO,1052.8154002870249,,,0.0108004
GenX,BASN_to_NWPP,2035,full-base-1000,MW,3.0,,3.0,BASN,NWPP,2143.6820330805017,,,0.00145757
GenX,BASN_to_RMRG,2035,full-base-1000,MW,59.0,,4.0,BASN,RMRG,1478.968739910536,,,0.0398431
GenX,BASN_to_SRSG,2035,full-base-1000,MW,837.0,,5.0,BASN,SRSG,1196.8856954277987,,,0.699169
GenX,CANO_to_CASO,2035,full-base-1000,MW,4.0,,6.0,CANO,CASO,678.496525078502,,,0.00538524
GenX,CANO_to_NWPP,2035,full-base-1000,MW,387.0,,7.0,CANO,NWPP,1302.6110658309303,,,0.296827
GenX,NWPP_to_CASO,2035,full-base-1000,MW,30.0,,8.0,NWPP,CASO,1859.1210098249196,,,0.0161435
GenX,CASO_to_SRSG,2035,full-base-1000,MW,1147303.0,,9.0,CASO,SRSG,670.4280089248628,,,1711.3
GenX,FRCC_to_SRSE,2035,full-base-1000,MW,142.0,,10.0,FRCC,SRSE,930.705776696937,,,0.152949
GenX,ISNE_to_NYCW,2035,full-base-1000,MW,4.0,,11.0,ISNE,NYCW,208.76319678780865,,,0.0205395
GenX,ISNE_to_NYUP,2035,full-base-1000,MW,1259147.0,,12.0,ISNE,NYUP,422.4133412443229,,,2980.84
GenX,MISC_to_MISE,2035,full-base-1000,MW,103614.0,,13.0,MISC,MISE,993.3851724175372,,,104.304
GenX,MISS_to_MISC,2035,full-base-1000,MW,80.0,,14.0,MISS,MISC,1432.2313664952487,,,0.055643
GenX,MISW_to_MISC,2035,full-base-1000,MW,29.0,,15.0,MISW,MISC,1370.4981771620598,,,0.0208991
GenX,MISC_to_PJMC,2035,full-base-1000,MW,40.0,,16.0,MISC,PJMC,626.2046711986147,,,0.0644089
GenX,MISC_to_PJMW,2035,full-base-1000,MW,419044.0,,17.0,MISC,PJMW,636.7767278564246,,,658.071
GenX,MISC_to_SPPC,2035,full-base-1000,MW,1104881.0,,18.0,MISC,SPPC,696.0754685319118,,,1587.3
GenX,MISC_to_SPPN,2035,full-base-1000,MW,182988.0,,19.0,MISC,SPPN,919.2234841721058,,,199.068
GenX,MISC_to_SPPS,2035,full-base-1000,MW,449111.0,,20.0,MISC,SPPS,1164.3004320004338,,,385.735
GenX,MISC_to_SRCE,2035,full-base-1000,MW,24.0,,21.0,MISC,SRCE,807.5788459671032,,,0.029222
GenX,MISE_to_MISW,2035,full-base-1000,MW,9.0,,22.0,MISE,MISW,1338.0895372438338,,,0.00690222
GenX,PJMW_to_MISE,2035,full-base-1000,MW,30.0,,23.0,PJMW,MISE,672.2944948093907,,,0.0442546
GenX,MISS_to_SPPC,2035,full-base-1000,MW,140.0,,24.0,MISS,SPPC,1264.309793619994,,,0.110812
GenX,MISS_to_SPPS,2035,full-base-1000,MW,3963669.0,,25.0,MISS,SPPS,1083.4402589451677,,,3658.41
GenX,MISS_to_SRCE,2035,full-base-1000,MW,9.0,,26.0,MISS,SRCE,910.5740119711644,,,0.0100538
GenX,MISS_to_SRSE,2035,full-base-1000,MW,1505.0,,27.0,MISS,SRSE,825.7437764420143,,,1.82312
GenX,MISW_to_NWPP,2035,full-base-1000,MW,557.0,,28.0,MISW,NWPP,14040.700523946523,,,0.0397046
GenX,MISW_to_PJMC,2035,full-base-1000,MW,1028.0,,29.0,MISW,PJMC,577.3769837220765,,,1.78028
GenX,MISW_to_SPPC,2035,full-base-1000,MW,612.0,,30.0,MISW,SPPC,1195.0293103479462,,,0.511811
GenX,MISW_to_SPPN,2035,full-base-1000,MW,7.0,,31.0,MISW,SPPN,1014.1486283848258,,,0.0072833
GenX,NWPP_to_RMRG,2035,full-base-1000,MW,258457.0,,32.0,NWPP,RMRG,256.39318164425606,,,1008.05
GenX,NYCW_to_NYUP,2035,full-base-1000,MW,6.0,,33.0,NYCW,NYUP,319.03239545042265,,,0.017948
GenX,NYCW_to_PJME,2035,full-base-1000,MW,362480.0,,34.0,NYCW,PJME,81.02077938846139,,,4473.91
