zone,value,planning_year,model,agg_zone,case
16.0,3471.390795748792,2050,TEMOA,,full-base-50
17.0,5.910255047378545,2050,TEMOA,,full-base-50
18.0,4920.400665360417,2050,TEMOA,,full-base-50
19.0,5.289974357906829,2050,TEMOA,,full-base-50
20.0,2679.423321343665,2050,TEMOA,,full-base-50
21.0,13014.812993476722,2050,TEMOA,,full-base-50
22.0,13310.330834298804,2050,TEMOA,,full-base-50
23.0,7503.057245104306,2050,TEMOA,,full-base-50
24.0,6801.170919240587,2050,TEMOA,,full-base-50
25.0,17818.268696321484,2050,TEMOA,,full-base-50
26.0,4.178724857321028,2050,TEMOA,,full-base-50
1.0,1.232166382375642,2035,TEMOA,,full-base-50
2.0,1.2442626633466627,2035,TEMOA,,full-base-50
3.0,1.4347061395206124,2035,TEMOA,,full-base-50
4.0,1.2280979726005756,2035,TEMOA,,full-base-50
5.0,86965.85852002776,2035,TEMOA,,full-base-50
6.0,1.219411941402727,2035,TEMOA,,full-base-50
7.0,1.1388096985421443,2035,TEMOA,,full-base-50
8.0,1.1788064258156306,2035,TEMOA,,full-base-50
9.0,3138.356312992812,2035,TEMOA,,full-base-50
10.0,5955.910141000131,2035,TEMOA,,full-base-50
11.0,15551.588629041527,2035,TEMOA,,full-base-50
12.0,1.0749319644422035,2035,TEMOA,,full-base-50
13.0,1.137368344894541,2035,TEMOA,,full-base-50
14.0,1.1950736609485195,2035,TEMOA,,full-base-50
15.0,1.2871679383706591,2035,TEMOA,,full-base-50
16.0,1.284457133641556,2035,TEMOA,,full-base-50
17.0,1.1419505790571116,2035,TEMOA,,full-base-50
18.0,1.108868877415034,2035,TEMOA,,full-base-50
19.0,1.071664419087481,2035,TEMOA,,full-base-50
20.0,1.1522374032393103,2035,TEMOA,,full-base-50
21.0,98.38467747711726,2035,TEMOA,,full-base-50
22.0,1.2544557544278454,2035,TEMOA,,full-base-50
23.0,1.1850776789830075,2035,TEMOA,,full-base-50
24.0,1.2247454241220908,2035,TEMOA,,full-base-50
25.0,1.3153609588927195,2035,TEMOA,,full-base-50
26.0,1.0062498348230229,2035,TEMOA,,full-base-50
1.0,3.647479131568432,2030,TEMOA,,full-base-50
2.0,3.77405393016566,2030,TEMOA,,full-base-50
3.0,3.75957072008262,2030,TEMOA,,full-base-50
4.0,3.659389562002567,2030,TEMOA,,full-base-50
5.0,36375.66835659423,2030,TEMOA,,full-base-50
6.0,3.592934065671596,2030,TEMOA,,full-base-50
7.0,3.6666577060780656,2030,TEMOA,,full-base-50
8.0,3.5032497343832856,2030,TEMOA,,full-base-50
9.0,3.728597562649575,2030,TEMOA,,full-base-50
10.0,3.8017129668326826,2030,TEMOA,,full-base-50
11.0,4337.10752942866,2030,TEMOA,,full-base-50
12.0,3.640044216472186,2030,TEMOA,,full-base-50
13.0,3.5359149018345204,2030,TEMOA,,full-base-50
14.0,3.6367377883626735,2030,TEMOA,,full-base-50
15.0,3.694760527341358,2030,TEMOA,,full-base-50
16.0,3.7121729987818246,2030,TEMOA,,full-base-50
17.0,3.5284126454879163,2030,TEMOA,,full-base-50
18.0,3.52451540165835,2030,TEMOA,,full-base-50
19.0,3.463317227487941,2030,TEMOA,,full-base-50
20.0,3.500368032597877,2030,TEMOA,,full-base-50
21.0,3.520654832684761,2030,TEMOA,,full-base-50
22.0,3.5855581560636645,2030,TEMOA,,full-base-50
23.0,3.570166145706356,2030,TEMOA,,full-base-50
