model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_23_anyQual_1,Wind,2040,20-week-foresight,MW,41,41
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_23_anyQual_1,Wind,2045,20-week-foresight,MW,41,41
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_23_anyQual_1,Wind,2050,20-week-foresight,MW,41,41
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_24_anyQual_0,Wind,2035,20-week-foresight,MW,1301,1301
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_24_anyQual_0,Wind,2040,20-week-foresight,MW,1301,1301
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_24_anyQual_0,Wind,2045,20-week-foresight,MW,1301,1301
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_24_anyQual_0,Wind,2050,20-week-foresight,MW,1301,1301
USENSYS,TRE,TRE_landbasedwind_class3_moderate_24_anyQual_1,Wind,2035,20-week-foresight,MW,1144,1144
USENSYS,TRE,TRE_landbasedwind_class3_moderate_24_anyQual_1,Wind,2040,20-week-foresight,MW,1144,1144
USENSYS,TRE,TRE_landbasedwind_class3_moderate_24_anyQual_1,Wind,2045,20-week-foresight,MW,1144,1144
USENSYS,TRE,TRE_landbasedwind_class3_moderate_24_anyQual_1,Wind,2050,20-week-foresight,MW,1144,1144
USENSYS,MISW,MISW_landbasedwind_class3_moderate_26_anyQual_0,Wind,2035,20-week-foresight,MW,1721,1721
USENSYS,MISW,MISW_landbasedwind_class3_moderate_26_anyQual_0,Wind,2040,20-week-foresight,MW,1721,1721
USENSYS,MISW,MISW_landbasedwind_class3_moderate_26_anyQual_0,Wind,2045,20-week-foresight,MW,1721,1721
USENSYS,MISW,MISW_landbasedwind_class3_moderate_26_anyQual_0,Wind,2050,20-week-foresight,MW,1721,1721
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_26_anyQual_0,Wind,2050,20-week-foresight,MW,294,294
USENSYS,MISW,MISW_landbasedwind_class3_moderate_27_anyQual_1,Wind,2040,20-week-foresight,MW,2138,2138
USENSYS,MISW,MISW_landbasedwind_class3_moderate_27_anyQual_1,Wind,2045,20-week-foresight,MW,2138,2138
USENSYS,MISW,MISW_landbasedwind_class3_moderate_27_anyQual_1,Wind,2050,20-week-foresight,MW,2138,2138
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_27_anyQual_1,Wind,2035,20-week-foresight,MW,280,280
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_27_anyQual_1,Wind,2040,20-week-foresight,MW,280,280
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_27_anyQual_1,Wind,2045,20-week-foresight,MW,280,280
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_27_anyQual_1,Wind,2050,20-week-foresight,MW,280,280
USENSYS,TRE,TRE_landbasedwind_class3_moderate_29_anyQual_1,Wind,2050,20-week-foresight,MW,867,867
USENSYS,MISW,MISW_landbasedwind_class3_moderate_3_anyQual_0,Wind,2035,20-week-foresight,MW,5416,5416
USENSYS,MISW,MISW_landbasedwind_class3_moderate_3_anyQual_0,Wind,2040,20-week-foresight,MW,5416,5416
USENSYS,MISW,MISW_landbasedwind_class3_moderate_3_anyQual_0,Wind,2045,20-week-foresight,MW,5416,5416
USENSYS,MISW,MISW_landbasedwind_class3_moderate_3_anyQual_0,Wind,2050,20-week-foresight,MW,5416,5416
USENSYS,SPPS,SPPS_landbasedwind_class3_moderate_3_anyQual_0,Wind,2035,20-week-foresight,MW,4378,4378
USENSYS,SPPS,SPPS_landbasedwind_class3_moderate_3_anyQual_0,Wind,2040,20-week-foresight,MW,4378,4378
USENSYS,SPPS,SPPS_landbasedwind_class3_moderate_3_anyQual_0,Wind,2045,20-week-foresight,MW,4378,4378
USENSYS,SPPS,SPPS_landbasedwind_class3_moderate_3_anyQual_0,Wind,2050,20-week-foresight,MW,4378,4378
USENSYS,SRSG,SRSG_landbasedwind_class3_moderate_3_anyQual_0,Wind,2045,20-week-foresight,MW,4656,4656
USENSYS,SRSG,SRSG_landbasedwind_class3_moderate_3_anyQual_0,Wind,2050,20-week-foresight,MW,4656,4656
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,7607,7607
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,7607,7607
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,7607,7607
USENSYS,CASO,CASO_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,161,161
USENSYS,CASO,CASO_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,161,161
USENSYS,CASO,CASO_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,161,161
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,36,36
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,36,36
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,36,36
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,36,36
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,189,189
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,189,189
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,189,189
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,189,189
USENSYS,MISC,MISC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,4963,4963
USENSYS,MISC,MISC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,4963,4963
USENSYS,MISC,MISC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,4963,4963
USENSYS,MISC,MISC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,4963,4963
USENSYS,MISE,MISE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2030,20-week-foresight,MW,674,674
USENSYS,MISE,MISE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,674,674
USENSYS,MISE,MISE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,674,674
USENSYS,MISE,MISE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,674,674
USENSYS,MISE,MISE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,674,674
USENSYS,MISS,MISS_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,2906,2906
USENSYS,MISS,MISS_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,2906,2906
USENSYS,MISS,MISS_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,2906,2906
USENSYS,MISS,MISS_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,2906,2906
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,1314,1314
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,1314,1314
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,1314,1314
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,2801,2801
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,2801,2801
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,2801,2801
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,2801,2801
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,37,37
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,37,37
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,37,37
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,37,37
USENSYS,PJME,PJME_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,64,64
USENSYS,PJME,PJME_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,64,64
USENSYS,PJME,PJME_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,64,64
USENSYS,PJME,PJME_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,64,64
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2030,20-week-foresight,MW,3644,3644
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,3644,3644
