Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,77,9971,9124,14098,41934,18702,23091,10777,21495,23722,20114,9127,7943,13014,16335,39757,41753,9421,8296,4769,12900,38357,34016,38854,12165,43934,2102
,,,,,,,,78,10010,8978,13875,46222,19195,23967,11272,22251,24428,20064,9258,8030,13247,17329,42323,44136,9502,8561,4918,13217,41654,35925,41960,12356,45558,2186
,,,,,,,,79,10209,9024,13947,48327,22065,25835,12496,23768,26508,20550,10208,8639,14063,18288,47045,48545,9628,9127,5307,14076,43316,37887,44798,12978,49245,2365
,,,,,,,,80,10640,9327,14415,46734,28071,27340,13589,25480,29368,21834,11579,9800,15594,18824,49450,50456,10078,9902,5912,15458,41644,37407,43703,14065,55160,2678
,,,,,,,,81,11579,10112,15629,43799,29449,27121,13789,25323,30680,24216,12295,10519,16108,18386,48622,49444,10775,10115,6227,15815,38413,35295,40758,15545,55742,2680
,,,,,,,,82,12491,11398,17632,40116,28338,26186,13686,23996,30206,27902,12148,10543,15773,17795,47483,48102,11077,9802,6085,15315,35435,33287,37978,15791,53120,2529
,,,,,,,,83,12531,11814,18272,36735,26938,25559,13670,22627,29792,28708,12150,10584,15501,17131,46716,47331,10961,9505,5909,14863,33197,31545,35567,15330,50344,2361
,,,,,,,,84,12267,11909,18405,33793,26185,24933,13493,21399,29407,27769,12091,10601,15316,16637,45676,46102,10793,9401,5853,14290,31189,30166,33601,14656,48486,2270
,,,,,,,,85,12112,11901,18377,31461,25592,24210,13394,20240,28915,26227,11988,10542,14988,16155,44746,45292,10680,9140,5753,13797,29868,28761,32031,14199,46202,2140
,,,,,,,,86,11818,12167,18790,29704,24868,23662,13308,19421,28610,26475,11779,10397,14800,15797,44050,44349,10630,8920,5657,13434,28647,27791,30623,13904,44702,2058
,,,,,,,,87,11649,12234,18892,28958,24587,23232,13170,18812,28273,25832,11697,10339,14728,15525,43715,43320,10542,8764,5568,13127,28427,27079,30035,13762,43599,1998
,,,,,,,,88,11544,12267,18941,29639,24752,23092,13145,18544,28049,25357,11704,10327,14703,15724,44583,43189,10544,8629,5548,12897,29611,27189,30451,13588,42848,1960
,,,,,,,,89,11362,12330,19038,33127,26234,23463,13409,18676,28564,25014,11968,10469,14776,16441,46964,44499,10642,8691,5591,12939,32800,28699,32739,13505,42606,1949
,,,,,,,,90,11405,12358,19084,37953,29161,24854,14405,19487,30279,24909,12795,11037,15554,17700,50860,47599,10994,9007,5809,13214,35443,31147,36320,13600,43133,1977
,,,,,,,,91,11656,12485,19284,38921,30980,26043,14658,20899,32322,25466,13415,11573,16410,17689,50105,47992,11649,9745,6202,14105,35208,31588,36869,14002,45373,2086
,,,,,,,,92,12498,12855,19867,38573,31177,25677,14189,21566,31572,27159,13342,11527,16021,17046,48494,46896,12544,9844,6203,14678,34412,30908,36171,15142,48026,2203
,,,,,,,,93,13204,14099,21799,37321,30964,25160,13768,21130,30375,28810,13156,11330,15769,16558,47300,46119,12089,9553,5955,14422,33257,30191,34915,15853,47465,2171
,,,,,,,,94,12834,13891,21481,35328,22800,24551,13127,20696,29323,28052,11919,10445,15477,15881,43987,44077,11469,9356,5757,14258,31287,29086,32974,15532,46840,2143
,,,,,,,,95,12350,13163,20356,33400,20781,23462,12309,19936,27378,26562,11254,9906,14746,14731,40717,41285,11116,8975,5438,13852,29591,27673,30952,15035,45378,2070
,,,,,,,,96,11901,12595,19482,32166,19659,22299,11512,18746,25509,25402,10559,9292,13945,13746,37979,38966,10491,8446,5055,13140,28496,26658,29617,14281,42866,1958
,,,,,,,,97,11291,11794,18241,32155,18080,21501,10938,17901,24300,23872,9676,8512,13168,13088,35923,37231,9812,8041,4769,12515,28112,26520,29168,13331,40464,1859
