case,tech_type,planning_year,agg_zone,end_value,min,max
full-base-200,Natural Gas CT,2050,TRE,0.5,0.0,8.0
full-base-200,Natural Gas CT,2050,WECC,1.5,0.0,13.0
full-base-200,Nuclear,2050,CA,0.0,0.0,6.0
full-base-200,Nuclear,2050,MISO,0.0,0.0,15.0
full-base-200,Nuclear,2050,NE,0.5,0.0,9.0
full-base-200,Nuclear,2050,PJM,0.0,0.0,12.0
full-base-200,Nuclear,2050,SOU,0.5,0.0,11.0
full-base-200,Nuclear,2050,SPP,0.0,0.0,9.0
full-base-200,Nuclear,2050,TRE,0.0,0.0,6.0
full-base-200,Nuclear,2050,WECC,0.5,0.0,12.0
full-base-200,Solar,2050,CA,23907.0,68908.0,74207.0
full-base-200,Solar,2050,MISO,14207.5,137949.0,142051.0
full-base-200,Solar,2050,NE,8085.8,46687.0,53035.0
full-base-200,Solar,2050,PJM,24172.5,150014.0,156413.0
full-base-200,Solar,2050,SOU,35834.2,150938.0,159400.0
full-base-200,Solar,2050,SPP,5982.2,36051.0,39133.0
full-base-200,Solar,2050,TRE,14059.2,50927.0,55022.0
full-base-200,Solar,2050,WECC,27202.0,132151.0,137579.0
full-base-200,Wind,2050,CA,64.5,1788.0,2705.0
full-base-200,Wind,2050,MISO,7694.2,135946.0,143845.0
full-base-200,Wind,2050,NE,1493.5,44450.0,48012.0
full-base-200,Wind,2050,PJM,994.0,35446.0,39617.0
full-base-200,Wind,2050,SOU,1994.5,39874.0,42158.0
full-base-200,Wind,2050,SPP,11951.8,110062.0,126684.0
full-base-200,Wind,2050,TRE,7550.0,86192.0,92686.0
full-base-200,Wind,2050,WECC,9689.2,131706.0,141145.0
full-base-200-commit,Battery,2027,CA,1.0,,
full-base-200-commit,Battery,2027,MISO,2.5,,
full-base-200-commit,Battery,2027,NE,1.5,,
full-base-200-commit,Battery,2027,PJM,2.0,,
full-base-200-commit,Battery,2027,SOU,1.5,,
full-base-200-commit,Battery,2027,SPP,1.5,,
full-base-200-commit,Battery,2027,TRE,1.0,,
full-base-200-commit,Battery,2027,WECC,2.0,,
full-base-200-commit,CCS,2027,CA,0.0,,
full-base-200-commit,CCS,2027,MISO,1.0,,
full-base-200-commit,CCS,2027,NE,,,
full-base-200-commit,CCS,2027,PJM,0.5,,
full-base-200-commit,CCS,2027,SOU,0.5,,
full-base-200-commit,CCS,2027,SPP,0.0,,
full-base-200-commit,CCS,2027,TRE,0.0,,
full-base-200-commit,CCS,2027,WECC,0.0,,
full-base-200-commit,Hydrogen,2027,CA,0.0,,
full-base-200-commit,Hydrogen,2027,MISO,0.0,,
full-base-200-commit,Hydrogen,2027,NE,1.0,,
full-base-200-commit,Hydrogen,2027,PJM,0.0,,
full-base-200-commit,Hydrogen,2027,SOU,0.0,,
full-base-200-commit,Hydrogen,2027,SPP,0.0,,
full-base-200-commit,Hydrogen,2027,TRE,0.0,,
full-base-200-commit,Hydrogen,2027,WECC,0.0,,
full-base-200-commit,Natural Gas CC,2027,CA,1.0,,
full-base-200-commit,Natural Gas CC,2027,MISO,1347.5,,
full-base-200-commit,Natural Gas CC,2027,NE,333.0,,
full-base-200-commit,Natural Gas CC,2027,PJM,4.0,,
full-base-200-commit,Natural Gas CC,2027,SOU,3.5,,
full-base-200-commit,Natural Gas CC,2027,SPP,2.0,,
full-base-200-commit,Natural Gas CC,2027,TRE,2.0,,
full-base-200-commit,Natural Gas CC,2027,WECC,2.5,,
full-base-200-commit,Natural Gas CT,2027,CA,0.0,,
full-base-200-commit,Natural Gas CT,2027,MISO,2.5,,
full-base-200-commit,Natural Gas CT,2027,NE,1.5,,
full-base-200-commit,Natural Gas CT,2027,PJM,2.0,,
full-base-200-commit,Natural Gas CT,2027,SOU,1.5,,
full-base-200-commit,Natural Gas CT,2027,SPP,1.5,,
full-base-200-commit,Natural Gas CT,2027,TRE,1.0,,
full-base-200-commit,Natural Gas CT,2027,WECC,2.0,,
full-base-200-commit,Nuclear,2027,CA,0.0,,
full-base-200-commit,Nuclear,2027,MISO,0.0,,
full-base-200-commit,Nuclear,2027,NE,0.0,,
full-base-200-commit,Nuclear,2027,PJM,0.0,,
full-base-200-commit,Nuclear,2027,SOU,0.0,,
full-base-200-commit,Nuclear,2027,SPP,0.0,,
full-base-200-commit,Nuclear,2027,TRE,0.0,,
full-base-200-commit,Nuclear,2027,WECC,0.0,,
full-base-200-commit,Solar,2027,CA,4.5,,
full-base-200-commit,Solar,2027,MISO,17.5,,
full-base-200-commit,Solar,2027,NE,0.0,,
full-base-200-commit,Solar,2027,PJM,5.0,,
full-base-200-commit,Solar,2027,SOU,9.0,,
full-base-200-commit,Solar,2027,SPP,9.0,,
full-base-200-commit,Solar,2027,TRE,0.0,,
full-base-200-commit,Solar,2027,WECC,11.0,,
full-base-200-commit,Wind,2027,CA,0.0,,
full-base-200-commit,Wind,2027,MISO,44344.5,,
full-base-200-commit,Wind,2027,NE,2815.5,,
full-base-200-commit,Wind,2027,PJM,11188.0,,
full-base-200-commit,Wind,2027,SOU,2218.0,,
full-base-200-commit,Wind,2027,SPP,15124.5,,
full-base-200-commit,Wind,2027,TRE,16491.0,,
full-base-200-commit,Wind,2027,WECC,30070.5,,
full-base-200-commit,Battery,2030,CA,1.0,,
full-base-200-commit,Battery,2030,MISO,11.0,,
full-base-200-commit,Battery,2030,NE,305.5,,
full-base-200-commit,Battery,2030,PJM,8.0,,
full-base-200-commit,Battery,2030,SOU,250.0,,
full-base-200-commit,Battery,2030,SPP,4.5,,
full-base-200-commit,Battery,2030,TRE,3.0,,
