Region,Resource,Zone,Cluster,AnnualSum
NY_Z_D,NY_Z_D_landbasedwind_class1_advanced_1,5,1,0.003385752494869423
NY_Z_D,NY_Z_D_landbasedwind_class1_advanced_2,5,2,0.2631709323821975
NY_Z_D,NY_Z_D_landbasedwind_class1_advanced_3,5,3,0.007829908128336468
NY_Z_D,NY_Z_D_landbasedwind_class1_advanced_4,5,4,0.005494237962486717
NY_Z_D,NY_Z_D_landbasedwind_class1_advanced_5,5,5,0.001564196131075109
NY_Z_D,NY_Z_D_landbasedwind_class1_advanced_6,5,6,0.0019655688140392366
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_1,5,1,0.00011261668626187465
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_2,5,2,0.001322247844670366
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_3,5,3,214891.3368535195
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_4,5,4,0.00010943272500470276
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_5,5,5,0.0002841502260774215
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_6,5,6,0.0010087057974697588
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_1,6,1,0.003559275548086397
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_2,6,2,140033.97061624014
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_3,6,3,0.0024239532289432745
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_4,6,4,0.0031784418632699496
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_5,6,5,0.000863573958047786
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_6,6,6,0.006825284207072419
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_1,6,1,0.0011573339079446075
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_2,6,2,0.0020275267013687205
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_3,6,3,0.0010338425320944266
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_4,6,4,0.0007852736542173763
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_5,6,5,0.005645729227869006
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_6,6,6,529892.3470231802
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_1,7,1,4297.863140701425
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_2,7,2,0.0037724094690235756
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_3,7,3,0.0013257753633958912
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_4,7,4,849.2309752050498
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_5,7,5,0.0010215537332655164
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_6,7,6,0.001066359512013195
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_1,7,1,0.0008911041529708973
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_2,7,2,0.0008197904680309424
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_3,7,3,298075.36370107165
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_4,7,4,0.005668733651613542
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_5,7,5,0.001153255220127537
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_6,7,6,0.0007690811809321378
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_0,8,0,416623.9745378102
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_1,8,1,457992.4713006423
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_2,8,2,0.42359995185561633
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_3,8,3,269307.43833467324
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_4,8,4,600209.3567306661
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_5,8,5,156586.9279699078
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_0_0,8,0,254109.35038047074
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_0_1,8,1,0.013819682229341119
