case,tech_type,planning_year,value,min,max
full-current-policies,Coal,2040,470963525.8,469818232.0,472905774.0
full-current-policies,Distributed Solar,2040,188963327.0,186296425.0,195076234.0
full-current-policies,Geothermal,2040,3245383.8,3119735.0,3476928.0
full-current-policies,Hydro,2040,282575411.8,271040477.0,288397025.0
full-current-policies,Hydrogen,2040,37827.5,99.0,143772.0
full-current-policies,Natural Gas CC,2040,1144520976.0,1130213291.0,1171517799.0
full-current-policies,Natural Gas CT,2040,26378064.8,25558366.0,27470114.0
full-current-policies,Nuclear,2040,778629001.0,775617780.0,780674354.0
full-current-policies,Solar,2040,1192001600.5,1165468646.0,1206917155.0
full-current-policies,Wind,2040,1929316378.5,1888949479.0,1956260363.0
full-current-policies,Battery,2045,49975646.5,40458719.0,57832657.0
full-current-policies,CCS,2045,15905158.5,4713331.0,37061353.0
full-current-policies,Coal,2045,359440402.5,357106874.0,361055244.0
full-current-policies,Distributed Solar,2045,201649487.5,200598614.0,202906382.0
full-current-policies,Geothermal,2045,1880013.0,1838058.0,1938878.0
full-current-policies,Hydro,2045,262494925.8,250062715.0,267066644.0
full-current-policies,Hydrogen,2045,149774.0,40980.0,422456.0
full-current-policies,Natural Gas CC,2045,1966851835.2,1932190543.0,1979988876.0
full-current-policies,Natural Gas CT,2045,20420317.0,19562337.0,22569394.0
full-current-policies,Nuclear,2045,819903533.8,815598660.0,822587130.0
full-current-policies,Solar,2045,1213763908.0,1191140806.0,1234291118.0
full-current-policies,Wind,2045,1875126637.0,1846281598.0,1906179960.0
full-current-policies,Battery,2050,57883619.8,44601376.0,71924370.0
full-current-policies,CCS,2050,14959061.0,3754512.0,37200998.0
full-current-policies,Coal,2050,188013270.2,179717397.0,194753712.0
full-current-policies,Distributed Solar,2050,216247280.8,214850145.0,218747159.0
full-current-policies,Geothermal,2050,734150.5,384272.0,873600.0
full-current-policies,Hydro,2050,246372187.2,234736239.0,250352142.0
full-current-policies,Hydrogen,2050,212967.5,67638.0,461320.0
full-current-policies,Natural Gas CC,2050,2473722814.0,2437343394.0,2508480556.0
full-current-policies,Natural Gas CT,2050,13057879.8,12019324.0,14724349.0
