Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,DerateCapRes_1,DerateCapRes_2,DerateCapRes_3,DerateCapRes_4,DerateCapRes_5,DerateCapRes_6,DerateCapRes_7,DerateCapRes_8,DerateCapRes_9,DerateCapRes_10,CapRes_Excl_1,CapRes_Excl_2,CapRes_Excl_3,CapRes_Excl_4,CapRes_Excl_5,CapRes_Excl_6,CapRes_Excl_7,CapRes_Excl_8,CapRes_Excl_9,CapRes_Excl_10,Line_Max_Flow_Possible_MW,Capital_Recovery_Period,WACC,old_Line_Reinforcement_Cost_per_MWyr
,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,3885.2,3885.0,PJME_to_PJMW,1000000000000.0,1019231.0,0.0846,38850.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1000000.0,60.0,0.05,49371.0
,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1219.1,1219.0,PJMW_to_SRCA,1000000000000.0,1419804.0,0.142,12190.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,-1,1,0,0,1000000.0,60.0,0.05,68774.0
,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,3333.3,3333.0,PJMW_to_SRCE,1000000000000.0,1005971.0,0.1101,33330.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,-1,1,0,0,1000000.0,60.0,0.05,48728.0
,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,3679.2,210.0,RMRG_to_SPPC,1000000000000.0,729067.0,0.0534,10000.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,1,-1,0,0,0,0,0,0,1000000.0,60.0,0.05,35315.0
,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,3683.3,410.0,RMRG_to_SPPN,1000000000000.0,650524.0,0.0445,10000.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,1,-1,0,0,0,0,0,0,1000000.0,60.0,0.05,31511.0
,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,620.5,614.0,RMRG_to_SRSG,1000000000000.0,1202803.0,0.1231,10000.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,-1,1,0,0,0,0,0,0,0,1000000.0,60.0,0.05,58263.0
,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,2990.4,1433.0,SPPC_to_SPPN,1000000000000.0,300951.0,0.0195,14330.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1000000.0,60.0,0.05,14578.0
,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,3372.4,3372.0,SPPC_to_SPPS,1000000000000.0,511728.0,0.0339,33720.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1000000.0,60.0,0.05,24788.0
,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,4501.6,0.0,SPPN_to_SPPS,1000000000000.0,619291.0,0.0387,10000.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1000000.0,60.0,0.05,29998.0
,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,6221.0,1010.0,SPPS_to_SRSG,1000000000000.0,1196207.0,0.1276,10100.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,-1,0,1,0,0,0,0,0,0,1000000.0,60.0,0.05,57943.0
,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,5893.1,600.0,SPPS_to_TRE,1000000000000.0,624286.0,0.0422,10000.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,1000000.0,60.0,0.05,30240.0
,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,4955.1,220.0,SPPS_to_TREW,1000000000000.0,557510.0,0.0339,10000.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,1000000.0,60.0,0.05,27005.0
,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,217.0,216.0,SRCA_to_SRCE,1000000000000.0,1528569.0,0.1155,10000.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1000000.0,60.0,0.05,74042.0
,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1400.1,1400.0,SRCA_to_SRSE,1000000000000.0,1298487.0,0.1037,14000.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1000000.0,60.0,0.05,62897.0
,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,3197.1,3196.0,SRCE_to_SRSE,1000000000000.0,1170284.0,0.0603,31960.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1000000.0,60.0,0.05,56687.0
,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,16529.3,16529.0,TRE_to_TREW,1000000000000.0,799317.0,0.0566,165290.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,1000000.0,60.0,0.05,38718.0
,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,53.7,0.0,NWPP_to_SPPN,1000000000000.0,2129864.0,0.1685,10000.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,1,-1,0,0,0,0,0,0,1000000.0,60.0,0.05,103169.0
,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,938.6,0.0,SRSG_to_TRE,1000000000000.0,1457411.0,0.1456,10000.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,1,0,0,-1,0,0,0,0,0,1000000.0,60.0,0.05,70596.0
