Zone,1,2,3,4,5,6,7,8,9,10,11
t27,-6.840905028279656e-10,-6.6148582622995325e-9,-8.826923899389381e-9,-4.359440142233614e-9,-4.370648705144955e-8,-7.166505425017381e-9,-4.046379681200552e-9,-1.2131566964926059e-9,-3.308123054472136e-9,-5.685638158722381e-10,-1.5046149419597363e-10
t28,-7.675672754894582e-10,-6.758359790925452e-9,-9.041796723531745e-9,-4.458932128538828e-9,-4.451873935993713e-8,-7.338450732209216e-9,-4.130452510511135e-9,-1.2368017236236294e-9,-3.377665349205914e-9,-5.521509270244674e-10,-1.463011652513361e-10
t29,-8.50798358147726e-10,-6.8445991316085596e-9,-9.164835591683267e-9,-4.518192517163593e-9,-4.5266333159959624e-8,-7.435041984813136e-9,-4.182889540565464e-9,-1.2516621097316997e-9,-3.421643163470101e-9,-5.376096764265074e-10,-1.567715415107434e-10
t30,-8.102493781611097e-10,-6.7888724455100805e-9,-9.071912396201023e-9,-4.4738913166031735e-9,-4.474450491547902e-8,-7.364454334875324e-9,-4.14458633402875e-9,-1.2420621899235718e-9,-3.3859996656104975e-9,-5.054674834955622e-10,-1.4700372223531065e-10
t31,-7.335801814714187e-10,-6.397502035704988e-9,-8.44601391086219e-9,-4.313789499680415e-9,-4.0242250756744944e-8,-6.926894965165808e-9,-4.132848776941191e-9,-1.1824612203186295e-9,-3.3030136084884212e-9,-4.515815416786825e-10,-1.3243477674676314e-10
t32,-6.04113043509673e-10,-5.754657160147878e-9,-7.609668227981327e-9,-3.782794810330775e-9,-3.741889673800928e-8,-6.192618007440087e-9,-3.5316039594145207e-9,-1.075214975136388e-9,-2.8640708399439912e-9,-3.922229620054835e-10,-1.2403775969307892e-10
t33,-5.949927016402401e-10,-5.567032869530255e-9,-7.227302684640976e-9,-3.858671029940076e-9,-3.1876284129658237e-8,-5.992795464541231e-9,-3.524612244538e-9,-1.1009958866744607e-9,-3.01188061396756e-9,-4.347471931494389e-10,-1.258792481732111e-10
t34,-5.988690582489359e-10,-5.33810690364155e-9,-7.0188572412176736e-9,-3.5019224665089747e-9,-3.432252344125185e-8,-5.7121943987744956e-9,-3.294940010438266e-9,-1.0013422461211978e-9,-2.6704226785846794e-9,-4.09388338618287e-10,-1.3007739330045009e-10
t35,-5.643638008741637e-10,-5.282504615337738e-9,-6.950983556044772e-9,-3.465791695733575e-9,-3.4018981117422866e-8,-5.649158889830405e-9,-3.2633400027393294e-9,-9.92403409228568e-10,-2.643068281536881e-9,-4.146901906066077e-10,-1.3315919574327486e-10
t36,-5.112195685764237e-10,-5.2944533012316586e-9,-6.966321246433173e-9,-3.474800878353139e-9,-3.4025565315865e-8,-5.663720294826567e-9,-3.271585339375666e-9,-9.935371811219714e-10,-2.653834082242853e-9,-4.225698878852267e-10,-1.3567027609623976e-10
t37,-5.133561692728511e-10,-5.302389727545065e-9,-6.9790087826412305e-9,-3.4791609798017534e-9,-3.417441529966508e-8,-5.671551085497473e-9,-3.276727564751966e-9,-9.944058109576183e-10,-2.657913968901364e-9,-4.2954365757255186e-10,-1.3801966911086463e-10
t38,-5.208597958679663e-10,-5.371048368301546e-9,-7.0712619457180764e-9,-3.525345870180133e-9,-3.4654201173145196e-8,-5.746193792892295e-9,-3.3190052420036477e-9,-1.0052688803313615e-9,-2.693525837924579e-9,-4.353180896419468e-10,-1.4049749238797286e-10
t39,-5.203452574342903e-10,-5.390294059719348e-9,-7.1003286421354955e-9,-3.537514151847679e-9,-3.481756390954964e-8,-5.769678059788558e-9,-3.3314591353201697e-9,-1.0089395456821384e-9,-2.704783587542454e-9,-4.3665504520712775e-10,-1.4215714233089602e-10
t40,-5.101119361148734e-10,-5.294509214611261e-9,-6.965192022205038e-9,-3.472452115974656e-9,-3.4019677698079546e-8,-5.66178695300182e-9,-3.2711088995795366e-9,-9.937253431177388e-10,-2.6531981142818475e-9,-4.246134643663397e-10,-1.4018595720742784e-10
t41,-5.439070853235364e-10,-5.3562538821157364e-9,-6.939435857315768e-9,-3.709094628109813e-9,-3.04849008653316e-8,-5.751608231176942e-9,-3.3947453924437372e-9,-1.0569119349227129e-9,-2.905738654516704e-9,-4.0092288060269424e-10,-1.348031398474955e-10
t42,-4.5789663412180374e-10,-4.8810747638329114e-9,-6.377694590611855e-9,-3.194792210783331e-9,-3.112993317546807e-8,-5.199850699884645e-9,-3.0214892166875336e-9,-9.25940945569163e-10,-2.4399845901029423e-9,-3.973457716224921e-10,-1.2380143724968615e-10
t43,-4.5540168033271995e-10,-4.7722039952603495e-9,-6.228864399962934e-9,-3.1241717535681248e-9,-3.048404756223552e-8,-5.075687696215886e-9,-2.961198738448353e-9,-9.067811725247963e-10,-2.3896409485543914e-9,-3.802460344408737e-10,-1.2447257904001714e-10
t44,-4.8917916205226e-10,-5.031078234740365e-9,-6.595717818543491e-9,-3.296878800464602e-9,-3.222082995369885e-8,-5.367317412178048e-9,-3.1175766639985265e-9,-9.495967632491145e-10,-2.5255529213980324e-9,-4.107698946415087e-10,-1.3340481943690279e-10
t45,-5.086586512048579e-10,-5.217239537682818e-9,-6.853899270494306e-9,-3.4212794357858154e-9,-3.3676928678439855e-8,-5.575465994508129e-9,-3.2285399968313847e-9,-9.80725269594445e-10,-2.6181080191051743e-9,-4.2499647689022903e-10,-1.3841955067639545e-10
t46,-5.387441975860479e-10,-5.486611434232691e-9,-7.23320517738133e-9,-3.6020399565800643e-9,-3.544971552912221e-8,-5.871060407593886e-9,-3.3917138067129516e-9,-1.0244711932523515e-9,-2.759845324597478e-9,-4.476115657413192e-10,-1.4442537165707152e-10
t47,-5.730724310811877e-10,-5.746447475631539e-9,-7.590071523366603e-9,-3.773565438580259e-9,-3.740963724294607e-8,-6.162381637645037e-9,-3.5430148461177015e-9,-1.067028632125783e-9,-2.888623440184367e-9,-4.766304484196859e-10,-1.530201032261443e-10
