hour,resource_name,tech_type,value,zone,planning_year,model,case
376,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1878,2,2030,p4_Mod_Elect_Low_RE,Results_p1
377,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1953,2,2030,p4_Mod_Elect_Low_RE,Results_p1
378,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2156,2,2030,p4_Mod_Elect_Low_RE,Results_p1
379,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2358,2,2030,p4_Mod_Elect_Low_RE,Results_p1
380,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2156,2,2030,p4_Mod_Elect_Low_RE,Results_p1
381,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1954,2,2030,p4_Mod_Elect_Low_RE,Results_p1
382,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1886,2,2030,p4_Mod_Elect_Low_RE,Results_p1
383,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1846,2,2030,p4_Mod_Elect_Low_RE,Results_p1
384,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1810,2,2030,p4_Mod_Elect_Low_RE,Results_p1
289,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
290,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
291,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
292,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
293,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
294,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
295,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
296,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
297,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
298,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
299,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
300,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
301,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
302,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
303,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
304,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
305,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
306,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
307,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
308,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,0,3,2030,p4_Mod_Elect_Low_RE,Results_p1
