model,zone,resource_name,tech_type,planning_year,case,timestep,new_build,existing,unit,value
p4_Mod_Elect_Low_RE,8,NY_Z_J_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,5723976.956526487
p4_Mod_Elect_Low_RE,8,NY_Z_J_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,1.381610308398505
p4_Mod_Elect_Low_RE,8,NY_Z_J_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,9542.501438783847
p4_Mod_Elect_Low_RE,9,NY_Z_K_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,363443.9927696665
p4_Mod_Elect_Low_RE,9,NY_Z_K_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,2952875.82930967
p4_Mod_Elect_Low_RE,9,NY_Z_K_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,1.4857217327038053
p4_Mod_Elect_Low_RE,9,NY_Z_K_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,43598.97821835895
p4_Mod_Elect_Low_RE,10,PJM_EMAC_conventional_steam_coal_1,Conventional Steam Coal,2030,Results_p1,all,0,1,MWh,0.0
p4_Mod_Elect_Low_RE,10,PJM_EMAC_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,1358868.9476018758
p4_Mod_Elect_Low_RE,10,PJM_EMAC_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,54896545.97722855
p4_Mod_Elect_Low_RE,10,PJM_EMAC_natural_gas_fired_combined_cycle_3,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,1.0310203663756716
p4_Mod_Elect_Low_RE,10,PJM_EMAC_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,3.388076382518434
p4_Mod_Elect_Low_RE,10,PJM_EMAC_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,105369.75127102848
p4_Mod_Elect_Low_RE,10,PJM_EMAC_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,2030,Results_p1,all,0,1,MWh,133667.13947961194
p4_Mod_Elect_Low_RE,10,PJM_EMAC_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,63622333.67952564
p4_Mod_Elect_Low_RE,10,PJM_EMAC_nuclear_2,Nuclear,2030,Results_p1,all,1,0,MWh,10.300844562416902
p4_Mod_Elect_Low_RE,11,PJM_Rest_conventional_steam_coal_1,Conventional Steam Coal,2030,Results_p1,all,0,1,MWh,207416048.55082348
p4_Mod_Elect_Low_RE,11,PJM_Rest_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,484465.0272042549
p4_Mod_Elect_Low_RE,11,PJM_Rest_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,46450793.21009708
p4_Mod_Elect_Low_RE,11,PJM_Rest_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,30124.63868903802
p4_Mod_Elect_Low_RE,11,PJM_Rest_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,2.6824630629814648
