Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
,,,,,,,,135,15520.0,1364.0,1032.0,2047.0,234.0,1264.0,2253.0,8594.0,2680.0,19763.0,77011.0
,,,,,,,,136,16033.0,1402.0,1061.0,2103.0,240.0,1299.0,2318.0,8822.0,2758.0,20427.0,79298.0
,,,,,,,,137,16586.0,1451.0,1098.0,2175.0,249.0,1343.0,2399.0,9113.0,2859.0,21293.0,81657.0
,,,,,,,,138,17170.0,1482.0,1123.0,2223.0,255.0,1372.0,2455.0,9305.0,2927.0,21963.0,82792.0
,,,,,,,,139,16365.0,1396.0,1056.0,2094.0,239.0,1292.0,2310.0,8772.0,2751.0,20626.0,78443.0
,,,,,,,,140,15080.0,1296.0,981.0,1944.0,222.0,1201.0,2140.0,8162.0,2545.0,19014.0,72588.0
,,,,,,,,141,14748.0,1276.0,966.0,1913.0,218.0,1182.0,2106.0,8041.0,2503.0,18882.0,70744.0
,,,,,,,,142,14532.0,1229.0,931.0,1845.0,211.0,1140.0,2029.0,7759.0,2411.0,18040.0,68773.0
,,,,,,,,143,13414.0,1123.0,850.0,1684.0,192.0,1041.0,1851.0,7091.0,2198.0,16297.0,63040.0
,,,,,,,,144,11872.0,1013.0,767.0,1521.0,173.0,940.0,1670.0,6406.0,1981.0,14786.0,57070.0
,,,,,,,,145,10466.0,926.0,701.0,1389.0,159.0,858.0,1524.0,5858.0,1806.0,13342.0,52232.0
,,,,,,,,146,9616.0,875.0,662.0,1312.0,150.0,811.0,1440.0,5540.0,1705.0,12690.0,49640.0
,,,,,,,,147,9122.0,840.0,636.0,1261.0,144.0,780.0,1382.0,5325.0,1637.0,12250.0,47969.0
,,,,,,,,148,8923.0,828.0,627.0,1242.0,141.0,768.0,1362.0,5244.0,1613.0,12121.0,47338.0
,,,,,,,,149,8812.0,832.0,629.0,1247.0,142.0,771.0,1368.0,5264.0,1620.0,12268.0,47804.0
