Constraint,CapRes_1,CapRes_2,CapRes_3
t60,1.9847407754947675e-10,2.1093466117994085e-10,3.100975902609251e-11
t61,1.88931575642647e-10,1.9845605921419647e-10,2.923878951640069e-11
t62,1.9933323296921037e-10,1.8927882994364949e-10,2.832950796326248e-11
t63,2.2168366600678525e-10,1.929241478686976e-10,2.9125630332079235e-11
t64,2.350428391675673e-10,2.1063071453855544e-10,3.1822881001696116e-11
t65,3.0290122204458333e-10,2.577988723364707e-10,3.845628981679703e-11
t66,2.6445152589213437e-10,3.4274084621701505e-10,6.108103885149212e-11
t67,2.9387405535315495e-10,4.333191635019888e-10,1.0120596976709046e-10
t68,2.84922058029226e-10,4.2137504079916233e-10,1.0280929282083354e-10
t69,2.618357334427934e-10,4.0842811920143865e-10,9.593500859942128e-11
t70,2.362871169222006e-10,3.788544090736069e-10,8.645023755742238e-11
t71,2.2494543476136123e-10,3.587559367233406e-10,7.669917041266803e-11
t72,2.1250298350336645e-10,3.0195227908437263e-10,6.803915869330832e-11
t73,1.9804068528566294e-10,2.701006576813213e-10,6.167213928010701e-11
t74,1.9629396938358773e-10,2.631258270813486e-10,5.919318737633633e-11
t75,1.905735050653745e-10,2.564315667699729e-10,5.954072877711304e-11
t76,1.9442745222322347e-10,2.61712296563465e-10,6.052293430564697e-11
t77,1.9855468040796508e-10,2.6641832115994644e-10,6.267875937531876e-11
t78,2.1199399352676188e-10,2.665060893296122e-10,6.62858841141019e-11
t79,2.209802688399458e-10,3.7715234670466677e-10,8.870380858217322e-11
t80,2.4207536665440965e-10,2.9355942679980097e-10,7.823245452904324e-11
t81,2.9519376049561125e-10,4.5966292549281916e-10,7.546959925728094e-11
t82,2.4138203627745386e-10,2.4354260532106125e-10,4.9207178419102764e-11
t83,2.1367579886716432e-10,2.428692170840183e-10,3.8134786651325755e-11
t84,2.313467567878432e-10,2.1873397602466438e-10,3.651307758170001e-11
t85,2.513484388571765e-10,2.1025244707773615e-10,3.473904752169116e-11
t86,2.4163089775173964e-10,2.0997639993639456e-10,3.5360343811549024e-11
t87,2.510845795701862e-10,2.0253235158393581e-10,3.6494399201807746e-11
t88,2.435134686170227e-10,2.277005145781749e-10,4.424764142431803e-11
t89,2.8576700358616613e-10,4.117727388731335e-10,5.823572838320026e-11
t90,5.263980838899411e-10,6.990076924506751e-10,1.2227939837870654e-10
t91,6.835848795750668e-10,1.3635090252959494e-9,1.8589590509872306e-10
t92,6.342292337014896e-10,1.3690242483499645e-9,1.862156473469314e-10
t93,6.056574130754782e-10,1.1997611997158601e-9,1.5995687945722517e-10
t94,5.093539021481112e-10,8.976234244402076e-10,1.3744884260990176e-10
t95,3.723133532154423e-10,7.478158221457216e-10,1.0158826092268876e-10
t96,3.312906284221714e-10,5.995659928431757e-10,7.908557765226895e-11
t97,1.4957019306173893e-10,2.0451220112316577e-10,3.6030002103386305e-11
t98,1.4545253519703677e-10,1.9659367542657515e-10,3.124784712269286e-11
t99,1.4560277698597137e-10,1.9601842520632844e-10,3.02310564928397e-11
t100,1.4772733089747686e-10,1.9412832056971992e-10,2.9785464038585326e-11
t101,1.4970318203736646e-10,1.876424838926675e-10,2.923963201923338e-11
t102,1.5710996174204551e-10,2.23603427433318e-10,3.0075283142637925e-11
t103,1.1094844272087946e-10,1.835021553041613e-10,3.193492880364185e-11
t104,1.0981669969662757e-10,1.2827949263759029e-10,-2.388050993574181e-11
t105,1.0838955675438532e-10,1.25192600784905e-10,3.570791563061666e-11
t106,1.069560057083789e-10,1.353403009244798e-10,-5.2630432080350593e-11
t107,1.0706180549876391e-10,1.4939502672021588e-10,-1.0517198474933601e-10
t108,1.1073544661102911e-10,1.6074031523384214e-10,2.6709496670057333e-11
t109,1.1658335194300454e-10,1.6215765504143943e-10,2.7578088116064424e-11
