Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
NY_Z_D,NY_Z_D_landbasedwind_class1_advanced_3,5,3,194,0.0
NY_Z_D,NY_Z_D_landbasedwind_class1_advanced_4,5,4,195,0.0
NY_Z_D,NY_Z_D_landbasedwind_class1_advanced_5,5,5,196,0.0
NY_Z_D,NY_Z_D_landbasedwind_class1_advanced_6,5,6,197,0.0
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_1,5,1,198,1.6903669011251841e-6
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_2,5,2,199,8.793959240374799e-15
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_3,5,3,200,2.246507518788247e-15
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_4,5,4,201,9.61854101083941e-15
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_5,5,5,202,1.0195242336017357e-14
NY_Z_D,NY_Z_D_utilitypv_class1_advanced_6,5,6,203,2.4681997171907667e-15
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_1,6,1,204,0.0
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_2,6,2,205,0.0
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_3,6,3,206,0.0
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_4,6,4,207,0.0
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_5,6,5,208,0.0
NY_Z_F,NY_Z_F_landbasedwind_class1_advanced_6,6,6,209,0.0
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_1,6,1,210,1.1356156652660736e-14
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_2,6,2,211,2.9122091384343353e-15
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_3,6,3,212,3.5467486994109297e-15
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_4,6,4,213,1.3743562018941528e-14
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_5,6,5,214,5.749817001543142e-15
NY_Z_F,NY_Z_F_utilitypv_class1_advanced_6,6,6,215,2.9766828782972295e-15
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_1,7,1,216,0.0
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_2,7,2,217,0.0
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_3,7,3,218,0.0
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_4,7,4,219,0.0
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_5,7,5,220,0.0
NY_Z_G-I,NY_Z_G-I_landbasedwind_class1_advanced_6,7,6,221,0.0
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_1,7,1,222,2.875416571504847e-14
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_2,7,2,223,4.78096303782658e-15
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_3,7,3,224,2.4915862192247406e-7
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_4,7,4,225,1.7614255255526257e-14
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_5,7,5,226,1.9099887226517548e-7
NY_Z_G-I,NY_Z_G-I_utilitypv_class1_advanced_6,7,6,227,2.3483671685336054e-14
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_0,8,0,228,1.2609969075281338e6
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_1,8,1,229,2.569994806850671
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_2,8,2,230,1.8753473433767583e6
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_3,8,3,231,784169.9576094039
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_4,8,4,232,0.2845852890064709
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_1_5,8,5,233,544496.6502862683
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_0_0,8,0,234,766577.2567270817
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_0_1,8,1,235,219903.34546144443
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_0_2,8,2,236,705432.5146237165
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_0_3,8,3,237,360699.5466806571
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_0_4,8,4,238,0.15250470737956517
NY_Z_J,NY_Z_J_offshorewind_class3_advanced_fixed_0_5,8,5,239,206476.9035869129
NY_Z_J,NY_Z_J_offshorewind_class12_advanced_floating_0_0,8,0,240,0.07849378671774485
NY_Z_J,NY_Z_J_offshorewind_class12_advanced_floating_0_1,8,1,241,0.08013946772508648
