Zone,1,2,3,4,5,6,7,8,9,10,11
t28,-1.6812619205212945e-11,-1.6664568147378281e-10,-2.2499111825921992e-10,-1.1110741954835061e-10,-1.08392472958381e-9,-1.8265030197827931e-10,-1.0096547489282035e-10,-2.7251447315872987e-11,-8.387030719073807e-11,-1.1221832172600565e-11,-2.990835403508841e-12
t29,-1.7129112464044208e-11,-1.6882694369195005e-10,-2.2807015267638021e-10,-1.1261057623771077e-10,-1.101848157993628e-9,-1.8508012983961155e-10,-1.0230536946519259e-10,-2.7605555974553387e-11,-8.499680834533459e-11,-1.1388943484846738e-11,-3.1227997009858775e-12
t30,-1.647465627257748e-11,-1.673976003346683e-10,-2.257185410471316e-10,-1.1147178606635556e-10,-1.0890876647324522e-9,-1.8331824728043439e-10,-1.0134012952257167e-10,-2.737182480623675e-11,-8.409288092491496e-11,-1.034869848010729e-11,-2.9286539760880688e-12
t31,-1.4958390196722116e-11,-1.5774466200524953e-10,-2.088648025777203e-10,-1.0566179591214923e-10,-9.846094302064572e-10,-1.7092245807498627e-10,-9.771910444586355e-11,-2.698822485908707e-11,-8.022347014018527e-11,-9.440505383665543e-12,-2.635474006180795e-12
t32,-1.2931647807384655e-11,-1.4160412470098202e-10,-1.8952052741129954e-10,-9.415177317496995e-11,-9.125658076561469e-10,-1.5421112380469263e-10,-8.595418903596578e-11,-2.3370471670772003e-11,-7.098643849411787e-11,-8.700922417574059e-12,-2.4690649603526505e-12
t33,-1.1902205324701743e-11,-1.3360861217434146e-10,-1.7503713244152453e-10,-9.074045496807005e-11,-7.837479304059238e-10,-1.441543854043426e-10,-8.240341050617531e-11,-2.32663480688412e-11,-6.961272596050917e-11,-9.059797903804307e-12,-2.5043280797694307e-12
t34,-1.2103729795034583e-11,-1.311571604158529e-10,-1.7482474757768867e-10,-8.709047061089385e-11,-8.377770066379318e-10,-1.4222963639518497e-10,-7.998736590400498e-11,-2.161283250985787e-11,-6.612698906728798e-11,-9.117292628639622e-12,-2.5894094207855023e-12
t35,-1.162293446557844e-11,-1.2974561942820783e-10,-1.730991653914864e-10,-8.616323323684316e-11,-8.302962839285517e-10,-1.4062509024778752e-10,-7.917485695591245e-11,-2.1399011346738913e-11,-6.541372910326198e-11,-9.244047871652352e-12,-2.650826507827185e-12
t36,-1.1598594420097647e-11,-1.300264894767969e-10,-1.734429020677035e-10,-8.637253409440688e-11,-8.302603049304083e-10,-1.4096188190223517e-10,-7.937600851881714e-11,-2.1425140124428365e-11,-6.56787180143767e-11,-9.434979119324293e-12,-2.7009379601089896e-12
t37,-1.1656240241775396e-11,-1.3021512334871443e-10,-1.737673845373089e-10,-8.648831969959146e-11,-8.338533489804603e-10,-1.4116699658560325e-10,-7.950506129161685e-11,-2.144248937523419e-11,-6.578948276817435e-11,-9.60615677511e-12,-2.7478780248019947e-12
t38,-1.1841896568355116e-11,-1.3192692560370033e-10,-1.760530775704651e-10,-8.764384611006119e-11,-8.453501700002191e-10,-1.4302024714113098e-10,-8.056853541230792e-11,-2.1699636822020492e-11,-6.669173690611813e-11,-9.747573677373788e-12,-2.797764596420148e-12
t39,-1.1828781735097734e-11,-1.324136629607925e-10,-1.7677522365166338e-10,-8.795072191303046e-11,-8.492956647767134e-10,-1.436123652821635e-10,-8.088528153467664e-11,-2.1787667283535355e-11,-6.697039851806513e-11,-9.780528471276469e-12,-2.8313585995907174e-12
t40,-1.1575023012468374e-11,-1.3003586634243564e-10,-1.7343689683349837e-10,-8.632551571986889e-11,-8.301794978435009e-10,-1.409486951131597e-10,-7.937370385401449e-11,-2.142885535692256e-11,-6.56584717089939e-11,-9.48627675632555e-12,-2.7918780070835596e-12
t41,-1.1134563793098072e-11,-1.2823627195991284e-10,-1.6785552471906222e-10,-8.702665924186243e-11,-7.499950492289366e-10,-1.3817162868723102e-10,-7.918206096513086e-11,-2.2255599791256897e-11,-6.697515780169356e-11,-8.911222019579862e-12,-2.6834814315607925e-12
t42,-1.0291257851548013e-11,-1.1975508644443285e-10,-1.5897682064365638e-10,-7.940236676537104e-11,-7.610083848969953e-10,-1.2951065118473127e-10,-7.312570292424992e-11,-1.984064393878228e-11,-6.031326607392352e-11,-8.227054097706888e-12,-2.462496124901953e-12
t43,-1.0231928532780554e-11,-1.17042907232234e-10,-1.5528737321040046e-10,-7.763324252571628e-11,-7.454635902781351e-10,-1.2641818536383583e-10,-7.16142832585766e-11,-1.9393994061201503e-11,-5.90507820462251e-11,-8.41259143481273e-12,-2.477350627385645e-12
t44,-1.1063788758102326e-11,-1.2351598470247588e-10,-1.6439745271192444e-10,-8.196913500493287e-11,-7.872993203245789e-10,-1.3368824053034713e-10,-7.554383291778419e-11,-2.039539410441505e-11,-6.246882595784828e-11,-9.153511147524109e-12,-2.65624762116376e-12
