line_name,planning_year,case,start_region,dest_region,value
PJMW_to_SRCE,2045,full-base-200,PJMW,SRCE,340.75
PJMW_to_SRCA,2035,full-base-200,PJMW,SRCA,3.3333333333333335
ISNE_to_NYCW,2045,full-base-200,ISNE,NYCW,7.666666666666667
PJMW_to_SRCA,2030,full-base-200,PJMW,SRCA,0.5
PJMD_to_PJMW,2050,full-base-200,PJMD,PJMW,334.0
PJMD_to_SRCA,2027,full-base-200,PJMD,SRCA,0.0
MISC_to_MISE,2030,full-base-200,MISC,MISE,1758.75
PJMD_to_SRCA,2030,full-base-200,PJMD,SRCA,9.0
MISC_to_MISE,2027,full-base-200,MISC,MISE,1.0
PJMD_to_SRCA,2035,full-base-200,PJMD,SRCA,55.0
PJMD_to_SRCA,2040,full-base-200,PJMD,SRCA,1017.75
ISNE_to_NYUP,2050,full-base-200,ISNE,NYUP,1.5
PJMD_to_SRCA,2045,full-base-200,PJMD,SRCA,1624.25
ISNE_to_NYUP,2045,full-base-200,ISNE,NYUP,72.33333333333333
PJMD_to_SRCA,2050,full-base-200,PJMD,SRCA,15.333333333333334
MISE_to_PJMW,2050,full-base-200,MISE,PJMW,0.0
ISNE_to_NYUP,2040,full-base-200,ISNE,NYUP,698.0
PJME_to_PJMW,2030,full-base-200,PJME,PJMW,3061.75
ISNE_to_NYUP,2035,full-base-200,ISNE,NYUP,3868.25
PJME_to_PJMW,2035,full-base-200,PJME,PJMW,21174.0
PJME_to_PJMW,2040,full-base-200,PJME,PJMW,11993.75
ISNE_to_NYUP,2030,full-base-200,ISNE,NYUP,4578.5
PJME_to_PJMW,2045,full-base-200,PJME,PJMW,7304.333333333333
ISNE_to_NYUP,2027,full-base-200,ISNE,NYUP,0.5
PJME_to_PJMW,2050,full-base-200,PJME,PJMW,2591.3333333333335
PJMW_to_SRCA,2027,full-base-200,PJMW,SRCA,0.0
ISNE_to_NYCW,2050,full-base-200,ISNE,NYCW,0.0
MISC_to_PJMC,2050,full-base-200,MISC,PJMC,0.0
FRCC_to_SRSE,2027,full-base-200,FRCC,SRSE,0.0
NYCW_to_NYUP,2040,full-base-200,NYCW,NYUP,167.33333333333334
MISC_to_PJMW,2027,full-base-200,MISC,PJMW,0.0
MISE_to_MISW,2027,full-base-200,MISE,MISW,1.0
MISS_to_SRCE,2050,full-base-200,MISS,SRCE,0.0
MISS_to_SRSE,2027,full-base-200,MISS,SRSE,0.0
MISC_to_SRCE,2050,full-base-200,MISC,SRCE,0.0
MISS_to_SRSE,2030,full-base-200,MISS,SRSE,7367.5
MISC_to_SRCE,2045,full-base-200,MISC,SRCE,0.0
MISS_to_SRSE,2035,full-base-200,MISS,SRSE,164.66666666666666
MISS_to_SRSE,2040,full-base-200,MISS,SRSE,328.0
MISC_to_SRCE,2040,full-base-200,MISC,SRCE,0.0
MISS_to_SRSE,2045,full-base-200,MISS,SRSE,77.66666666666667
