Constraint,CapRes_1,CapRes_2,CapRes_3
t39,1.5678734155791752e-10,1.3778548413862296e-10,2.8178744190299303e-11
t40,1.9646378828451017e-10,1.3865034884592365e-10,2.235317412360256e-11
t41,2.389117291908315e-10,1.4379531214645175e-10,2.3491086571981462e-11
t42,2.7098611461098324e-10,1.656820974109382e-10,2.4359729120859035e-11
t43,2.9556796701372827e-10,2.0064721532965818e-10,2.8427616788734378e-11
t44,4.4760982469780137e-10,1.8791345592042327e-10,4.185125719444547e-11
t45,5.00859502350473e-10,1.6984668584776602e-10,4.2976372912806455e-11
t46,5.720110984797049e-10,1.6712460591717024e-10,4.54979954351303e-11
t47,5.13573959015815e-10,1.5989320421880397e-10,4.259347894373684e-11
t48,2.3080300695560644e-10,1.5334587095890943e-10,3.369189059353826e-11
t49,2.0151519572662238e-10,1.4380097884563728e-10,3.326386847480489e-11
t50,1.4257026381630224e-10,1.580414565185556e-10,2.7396864625108702e-11
t51,1.1330268190796656e-10,1.3412885317966803e-10,2.657017137094062e-11
t52,1.5588599339090446e-10,1.2905953743840888e-10,2.2405272386582637e-11
t53,1.2031797206685982e-10,1.501409582868384e-10,3.0291614707135865e-11
t54,1.200808860143566e-10,1.671363383092005e-10,3.250188709196447e-11
t55,1.337488246243838e-10,1.690290418431655e-10,2.4271567278498374e-11
t56,1.6484381964629504e-10,1.5899482163331033e-10,7.1466778941701175e-12
t57,1.9135861755420692e-10,1.5107449781489895e-10,2.50305961896305e-11
t58,2.1944249780417057e-10,1.5315315580529592e-10,7.612331501213647e-11
t59,2.0118717140953516e-10,1.6303042975879794e-10,2.3376935852834384e-11
t60,2.0883825221888114e-10,1.4871090110382155e-10,2.0535492851829118e-11
t61,2.246090673537311e-10,1.6571612089807305e-10,1.68186137744311e-11
t62,2.2136269420191762e-10,1.5390307730968313e-10,3.5028243632021404e-11
t63,2.2981628978965663e-10,1.634104115653663e-10,4.3498571180486746e-11
t64,2.1755461826450447e-10,1.6600444899802823e-10,4.897063534583057e-11
t65,2.1947097320651407e-10,1.5241087352275643e-10,3.193518128925112e-11
t66,2.1171900644957951e-10,1.683812558946234e-10,-6.052598102535868e-12
t67,2.2559223578798034e-10,1.716682662366083e-10,1.6716861490057905e-11
t68,5.466501068012911e-10,1.9397063928888328e-10,3.905084441741535e-11
t69,6.271465849518425e-10,1.9183785075841788e-10,3.400832114869818e-11
t70,6.213753912493024e-10,1.3635276905957586e-10,2.5505196731665915e-11
t71,5.290010904857053e-10,1.181903674798311e-10,2.4490703555271174e-11
t72,1.6820688338304606e-10,1.2364832789818335e-10,2.316155096885086e-11
t73,1.4427792615033718e-10,1.6447940615876172e-10,2.1262579906026042e-11
t74,1.3248485895778867e-10,1.2587010808372436e-10,2.1259086118393914e-11
t75,1.0205130760519077e-10,1.4963487244090908e-10,1.9086227131304652e-11
t76,1.2310676429817966e-10,1.506773288805428e-10,2.3504558713127167e-11
t77,9.384028664493726e-11,1.097013156133097e-10,3.4025791187006386e-11
t78,1.148149783171705e-10,1.5063685388374934e-10,2.077495578903514e-11
t79,1.0874985600417744e-10,1.5047563551304208e-10,1.919616627526209e-11
t80,1.1008093843298338e-10,1.3450869232091018e-10,1.7815669562452166e-11
t81,1.318102413981582e-10,1.5245696988182074e-10,1.3731425747539257e-11
t82,1.3401373838357023e-10,1.584718957119778e-10,1.2517808419559517e-11
t83,1.5365965537549195e-10,1.6367359104531089e-10,1.3186461909115016e-11
t84,2.0027213425330535e-10,1.448834571076633e-10,1.2471809535686398e-11
t85,1.5997995156325225e-10,1.3859467806408226e-10,1.2765165382151288e-11
t86,1.5684064356824688e-10,1.2533580357381048e-10,1.2817290354904244e-11
t87,1.479783442423242e-10,1.108937904183318e-10,1.360745220760926e-11
t88,1.454815219181682e-10,1.1062945785248611e-10,1.3548244276611976e-11
t89,1.4289802162031472e-10,1.149389996395334e-10,1.3933219942810463e-11
t90,1.3003660651931264e-10,1.1120202244952096e-10,1.565348736851411e-11
t91,1.0260571096035919e-10,1.1764362521873497e-10,1.8703425662536412e-11
t92,1.2510944964363048e-10,1.6940329124179539e-10,3.5288135419390146e-11
t93,1.2331321651974364e-10,1.232245975479595e-10,3.3821377664500726e-11
t94,1.2462263994138001e-10,1.1116223769542302e-10,2.458061007901222e-11
t95,1.2006808753605134e-10,1.088008807124952e-10,2.3236373981670007e-11
t96,8.947860370578366e-11,1.02561196014929e-10,2.1091807351194713e-11
t97,1.294615507612528e-10,1.6549516942109683e-10,4.295624074226598e-11
