model,line,line_name,planning_year,case,unit,value,end_value,start_region,dest_region,km,cap
GenX,48.0,SPPN_to_SPPS,2030,20-week-foresight,MW,3275338.0,,SPPN,SPPS,679.4249275747745,4820.75
GenX,49.0,SPPS_to_SRSG,2030,20-week-foresight,MW,9479598.0,,SPPS,SRSG,1530.6511537017682,6193.18
GenX,50.0,SPPS_to_TRE,2030,20-week-foresight,MW,4998259.0,,SPPS,TRE,501.3042951289656,9970.51
GenX,51.0,SPPS_to_TREW,2030,20-week-foresight,MW,1143720.0,,SPPS,TREW,594.5912331781975,1923.54
GenX,52.0,SRCA_to_SRCE,2030,20-week-foresight,MW,884041.0,,SRCA,SRCE,1047.313910703395,844.103
GenX,53.0,SRCA_to_SRSE,2030,20-week-foresight,MW,37.0,,SRCA,SRSE,750.9564568673488,0.0492424
GenX,54.0,SRCE_to_SRSE,2030,20-week-foresight,MW,56.0,,SRCE,SRSE,808.9930595294763,0.0695535
GenX,55.0,TREW_to_TRE,2030,20-week-foresight,MW,115.0,,TREW,TRE,694.9819646586291,0.165201
GenX,56.0,NWPP_to_SPPN,2030,20-week-foresight,MW,447755.0,,NWPP,SPPN,2877.9361274282305,155.582
GenX,57.0,SRSG_to_TRE,2030,20-week-foresight,MW,9101035.0,,SRSG,TRE,1692.23667175099,5378.11
GenX,1.0,BASN_to_CANO,2035,20-week-foresight,MW,264472.0,,BASN,CANO,1613.3847128003597,163.924
GenX,2.0,BASN_to_CASO,2035,20-week-foresight,MW,2078.0,,BASN,CASO,1052.8154002870249,1.97355
GenX,3.0,BASN_to_NWPP,2035,20-week-foresight,MW,1101.0,,BASN,NWPP,2143.6820330805017,0.513482
GenX,4.0,BASN_to_RMRG,2035,20-week-foresight,MW,290.0,,BASN,RMRG,1478.968739910536,0.195908
GenX,5.0,BASN_to_SRSG,2035,20-week-foresight,MW,51.0,,BASN,SRSG,1196.8856954277987,0.0424523
GenX,6.0,CANO_to_CASO,2035,20-week-foresight,MW,501.0,,CANO,CASO,678.496525078502,0.73853
GenX,7.0,CANO_to_NWPP,2035,20-week-foresight,MW,2313672.0,,CANO,NWPP,1302.6110658309303,1776.18
GenX,8.0,CASO_to_NWPP,2035,20-week-foresight,MW,2763.0,,CASO,NWPP,1859.1210098249192,1.48595
GenX,9.0,CASO_to_SRSG,2035,20-week-foresight,MW,5122.0,,CASO,SRSG,670.4280089248628,7.6405
GenX,10.0,FRCC_to_SRSE,2035,20-week-foresight,MW,7499.0,,FRCC,SRSE,930.705776696937,8.05727
GenX,11.0,ISNE_to_NYCW,2035,20-week-foresight,MW,131153.0,,ISNE,NYCW,208.76319678780865,628.237
GenX,12.0,ISNE_to_NYUP,2035,20-week-foresight,MW,2007329.0,,ISNE,NYUP,422.4133412443229,4752.05
GenX,13.0,MISC_to_MISE,2035,20-week-foresight,MW,1772.0,,MISC,MISE,993.3851724175372,1.7841
GenX,14.0,MISC_to_MISS,2035,20-week-foresight,MW,182.0,,MISC,MISS,1432.2313664952487,0.126878
GenX,15.0,MISC_to_MISW,2035,20-week-foresight,MW,13.0,,MISC,MISW,1370.4981771620598,0.00933219
GenX,16.0,MISC_to_PJMC,2035,20-week-foresight,MW,763.0,,MISC,PJMC,626.2046711986147,1.2185
GenX,17.0,MISC_to_PJMW,2035,20-week-foresight,MW,257797.0,,MISC,PJMW,636.7767278564246,404.846
GenX,18.0,MISC_to_SPPC,2035,20-week-foresight,MW,11348.0,,MISC,SPPC,696.0754685319118,16.3023
GenX,19.0,MISC_to_SPPN,2035,20-week-foresight,MW,24693.0,,MISC,SPPN,919.2234841721058,26.8629
GenX,20.0,MISC_to_SPPS,2035,20-week-foresight,MW,617.0,,MISC,SPPS,1164.3004320004338,0.529874
GenX,21.0,MISC_to_SRCE,2035,20-week-foresight,MW,1088.0,,MISC,SRCE,807.5788459671032,1.34779
GenX,22.0,MISE_to_MISW,2035,20-week-foresight,MW,7119.0,,MISE,MISW,1338.0895372438338,5.3206
GenX,23.0,MISE_to_PJMW,2035,20-week-foresight,MW,350.0,,MISE,PJMW,672.2944948093907,0.521183
GenX,24.0,MISS_to_SPPC,2035,20-week-foresight,MW,4290.0,,MISS,SPPC,1264.309793619994,3.3935
GenX,25.0,MISS_to_SPPS,2035,20-week-foresight,MW,10465.0,,MISS,SPPS,1083.4402589451677,9.65877
GenX,26.0,MISS_to_SRCE,2035,20-week-foresight,MW,618.0,,MISS,SRCE,910.5740119711644,0.67888
GenX,27.0,MISS_to_SRSE,2035,20-week-foresight,MW,8057.0,,MISS,SRSE,825.7437764420143,9.75752
GenX,28.0,MISW_to_NWPP,2035,20-week-foresight,MW,46550.0,,MISW,NWPP,14040.700523946523,3.31533
GenX,29.0,MISW_to_PJMC,2035,20-week-foresight,MW,1485.0,,MISW,PJMC,577.3769837220765,2.57197
GenX,30.0,MISW_to_SPPC,2035,20-week-foresight,MW,264955.0,,MISW,SPPC,1195.0293103479462,221.714
GenX,31.0,MISW_to_SPPN,2035,20-week-foresight,MW,337.0,,MISW,SPPN,1014.1486283848258,0.331917
GenX,32.0,NWPP_to_RMRG,2035,20-week-foresight,MW,271302.0,,NWPP,RMRG,256.39318164425606,1058.15
GenX,33.0,NYCW_to_NYUP,2035,20-week-foresight,MW,1699.0,,NYCW,NYUP,319.03239545042265,5.3262
GenX,34.0,NYCW_to_PJME,2035,20-week-foresight,MW,255413.0,,NYCW,PJME,81.02077938846139,3152.44
GenX,35.0,NYUP_to_PJME,2035,20-week-foresight,MW,2105043.0,,NYUP,PJME,316.61636032760543,6648.56
GenX,36.0,PJMC_to_PJMW,2035,20-week-foresight,MW,203552.0,,PJMC,PJMW,484.9526117173539,419.735
GenX,37.0,PJMD_to_PJME,2035,20-week-foresight,MW,234347.0,,PJMD,PJME,139.26433395480618,1682.75
GenX,38.0,PJMD_to_PJMW,2035,20-week-foresight,MW,1087.0,,PJMD,PJMW,493.7545177764829,2.20226
GenX,39.0,PJMD_to_SRCA,2035,20-week-foresight,MW,605750.0,,PJMD,SRCA,525.2547915890101,1153.25
GenX,40.0,PJME_to_PJMW,2035,20-week-foresight,MW,4987759.0,,PJME,PJMW,482.9870637110515,10326.9
GenX,41.0,PJMW_to_SRCA,2035,20-week-foresight,MW,196.0,,PJMW,SRCA,900.2912298442393,0.21747
