model,zone,planning_year,case,unit,value,agg_zone
SWITCH,MISE,2030,full-base-200-retire,kg,6697079.432,MISO
SWITCH,MISS,2030,full-base-200-retire,kg,10976814.495,MISO
SWITCH,MISW,2030,full-base-200-retire,kg,9431316.551,MISO
SWITCH,NWPP,2030,full-base-200-retire,kg,176621.769,WECC
SWITCH,NYCW,2030,full-base-200-retire,kg,3828528.524,NE
SWITCH,NYUP,2030,full-base-200-retire,kg,3707148.1,NE
SWITCH,PJMC,2030,full-base-200-retire,kg,4128384.466,PJM
SWITCH,PJMD,2030,full-base-200-retire,kg,3731875.415,PJM
SWITCH,PJME,2030,full-base-200-retire,kg,32385437.702,PJM
SWITCH,PJMW,2030,full-base-200-retire,kg,20324419.34,PJM
SWITCH,RMRG,2030,full-base-200-retire,kg,521493.135,WECC
SWITCH,SPPC,2030,full-base-200-retire,kg,644049.193,SPP
SWITCH,SPPN,2030,full-base-200-retire,kg,145435.391,SPP
SWITCH,SPPS,2030,full-base-200-retire,kg,3955530.432,SPP
SWITCH,SRCA,2030,full-base-200-retire,kg,6834071.113,SOU
SWITCH,SRCE,2030,full-base-200-retire,kg,7550733.874,MISO
SWITCH,SRSE,2030,full-base-200-retire,kg,9442354.1,SOU
SWITCH,SRSG,2030,full-base-200-retire,kg,3211112.773,WECC
SWITCH,TRE,2030,full-base-200-retire,kg,15626979.682,TRE
SWITCH,TREW,2030,full-base-200-retire,kg,2537655.395,TRE
SWITCH,BASN,2035,full-base-200-retire,kg,2975362.247,WECC
SWITCH,CANO,2035,full-base-200-retire,kg,2135178.112,CA
SWITCH,CASO,2035,full-base-200-retire,kg,3744927.511,CA
SWITCH,FRCC,2035,full-base-200-retire,kg,7953850.207,SOU
SWITCH,ISNE,2035,full-base-200-retire,kg,13238004.983,NE
SWITCH,MISC,2035,full-base-200-retire,kg,4950745.559,MISO
SWITCH,MISE,2035,full-base-200-retire,kg,4591320.549,MISO
SWITCH,MISS,2035,full-base-200-retire,kg,6370853.029,MISO
SWITCH,MISW,2035,full-base-200-retire,kg,6385874.557,MISO
SWITCH,NWPP,2035,full-base-200-retire,kg,356463.194,WECC
SWITCH,NYCW,2035,full-base-200-retire,kg,1752943.31,NE
SWITCH,NYUP,2035,full-base-200-retire,kg,1942601.408,NE
SWITCH,PJMC,2035,full-base-200-retire,kg,2525080.163,PJM
SWITCH,PJMD,2035,full-base-200-retire,kg,2760565.964,PJM
SWITCH,PJME,2035,full-base-200-retire,kg,19153645.818,PJM
SWITCH,PJMW,2035,full-base-200-retire,kg,15940829.625,PJM
SWITCH,RMRG,2035,full-base-200-retire,kg,329654.16,WECC
SWITCH,SPPC,2035,full-base-200-retire,kg,388388.524,SPP
SWITCH,SPPN,2035,full-base-200-retire,kg,91363.136,SPP
SWITCH,SPPS,2035,full-base-200-retire,kg,2591318.059,SPP
SWITCH,SRCA,2035,full-base-200-retire,kg,5259411.042,SOU
SWITCH,SRCE,2035,full-base-200-retire,kg,5021258.659,MISO
SWITCH,SRSE,2035,full-base-200-retire,kg,6347767.385,SOU
SWITCH,SRSG,2035,full-base-200-retire,kg,2652670.895,WECC
SWITCH,TRE,2035,full-base-200-retire,kg,9105340.679,TRE
SWITCH,TREW,2035,full-base-200-retire,kg,1434581.23,TRE
SWITCH,BASN,2040,full-base-200-retire,kg,2166156.56,WECC
SWITCH,CANO,2040,full-base-200-retire,kg,1664188.299,CA
SWITCH,CASO,2040,full-base-200-retire,kg,3095311.898,CA
SWITCH,FRCC,2040,full-base-200-retire,kg,7038028.252,SOU
SWITCH,ISNE,2040,full-base-200-retire,kg,11762946.21,NE
SWITCH,MISC,2040,full-base-200-retire,kg,3777933.005,MISO
SWITCH,MISE,2040,full-base-200-retire,kg,3260929.91,MISO
SWITCH,MISS,2040,full-base-200-retire,kg,4197447.065,MISO
SWITCH,MISW,2040,full-base-200-retire,kg,4672275.897,MISO
SWITCH,NWPP,2040,full-base-200-retire,kg,530784.7,WECC
SWITCH,NYCW,2040,full-base-200-retire,kg,1041309.624,NE
SWITCH,NYUP,2040,full-base-200-retire,kg,1458940.956,NE
SWITCH,PJMC,2040,full-base-200-retire,kg,1878331.377,PJM
SWITCH,PJMD,2040,full-base-200-retire,kg,1827590.876,PJM
SWITCH,PJME,2040,full-base-200-retire,kg,11979359.822,PJM
SWITCH,PJMW,2040,full-base-200-retire,kg,12879025.55,PJM
SWITCH,RMRG,2040,full-base-200-retire,kg,316098.41,WECC
SWITCH,SPPC,2040,full-base-200-retire,kg,298499.167,SPP
SWITCH,SPPN,2040,full-base-200-retire,kg,54524.559,SPP
SWITCH,SPPS,2040,full-base-200-retire,kg,1691599.533,SPP
SWITCH,SRCA,2040,full-base-200-retire,kg,4300156.268,SOU
SWITCH,SRCE,2040,full-base-200-retire,kg,3471399.751,MISO
SWITCH,SRSE,2040,full-base-200-retire,kg,5259228.859,SOU
SWITCH,SRSG,2040,full-base-200-retire,kg,1696543.59,WECC
SWITCH,TRE,2040,full-base-200-retire,kg,6329683.28,TRE
SWITCH,TREW,2040,full-base-200-retire,kg,918180.294,TRE
SWITCH,BASN,2045,full-base-200-retire,kg,1987760.665,WECC
SWITCH,CANO,2045,full-base-200-retire,kg,1872715.564,CA
SWITCH,CASO,2045,full-base-200-retire,kg,3223227.66,CA
SWITCH,FRCC,2045,full-base-200-retire,kg,7332703.589,SOU
SWITCH,ISNE,2045,full-base-200-retire,kg,12323031.997,NE
SWITCH,MISC,2045,full-base-200-retire,kg,3707161.54,MISO
SWITCH,MISE,2045,full-base-200-retire,kg,3131415.008,MISO
SWITCH,MISS,2045,full-base-200-retire,kg,4287108.367,MISO
SWITCH,MISW,2045,full-base-200-retire,kg,4457553.416,MISO
SWITCH,NWPP,2045,full-base-200-retire,kg,879618.049,WECC
SWITCH,NYCW,2045,full-base-200-retire,kg,1132156.178,NE
SWITCH,NYUP,2045,full-base-200-retire,kg,1611391.482,NE
SWITCH,PJMC,2045,full-base-200-retire,kg,1843924.655,PJM
SWITCH,PJMD,2045,full-base-200-retire,kg,1582105.362,PJM
SWITCH,PJME,2045,full-base-200-retire,kg,10925375.028,PJM
SWITCH,PJMW,2045,full-base-200-retire,kg,13373674.199,PJM
SWITCH,RMRG,2045,full-base-200-retire,kg,270904.691,WECC
SWITCH,SPPC,2045,full-base-200-retire,kg,271108.606,SPP
SWITCH,SPPN,2045,full-base-200-retire,kg,51437.617,SPP
SWITCH,SPPS,2045,full-base-200-retire,kg,1557905.602,SPP
SWITCH,SRCA,2045,full-base-200-retire,kg,4529449.12,SOU
SWITCH,SRCE,2045,full-base-200-retire,kg,3202260.994,MISO
SWITCH,SRSE,2045,full-base-200-retire,kg,5285504.927,SOU
SWITCH,SRSG,2045,full-base-200-retire,kg,1450009.7,WECC
SWITCH,TRE,2045,full-base-200-retire,kg,6133925.861,TRE
SWITCH,TREW,2045,full-base-200-retire,kg,822254.498,TRE
SWITCH,BASN,2050,full-base-200-retire,kg,1955635.574,WECC
SWITCH,CANO,2050,full-base-200-retire,kg,1794859.571,CA
