case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2040,CCS,WECC,762.3
20-week-foresight,2040,Coal,CA,0.0
20-week-foresight,2040,Coal,MISO,30509.0
20-week-foresight,2040,Coal,NE,0.0
20-week-foresight,2040,Coal,PJM,8128.0
20-week-foresight,2040,Coal,SOU,13011.7
20-week-foresight,2040,Coal,SPP,14207.0
20-week-foresight,2040,Coal,TRE,10731.0
20-week-foresight,2040,Coal,WECC,9692.0
20-week-foresight,2040,Distributed Solar,CA,16395.0
20-week-foresight,2040,Distributed Solar,MISO,18450.3
20-week-foresight,2040,Distributed Solar,NE,8779.0
20-week-foresight,2040,Distributed Solar,PJM,20839.7
20-week-foresight,2040,Distributed Solar,SOU,14989.7
20-week-foresight,2040,Distributed Solar,SPP,4437.0
20-week-foresight,2040,Distributed Solar,TRE,8864.3
20-week-foresight,2040,Distributed Solar,WECC,10178.3
20-week-foresight,2040,Geothermal,CA,24.0
20-week-foresight,2040,Geothermal,MISO,
20-week-foresight,2040,Geothermal,NE,
20-week-foresight,2040,Geothermal,PJM,
20-week-foresight,2040,Geothermal,SOU,
20-week-foresight,2040,Geothermal,SPP,
20-week-foresight,2040,Geothermal,TRE,
20-week-foresight,2040,Geothermal,WECC,374.0
20-week-foresight,2040,Hydro,CA,12081.0
20-week-foresight,2040,Hydro,MISO,9473.3
20-week-foresight,2040,Hydro,NE,7751.0
20-week-foresight,2040,Hydro,PJM,7250.3
20-week-foresight,2040,Hydro,SOU,9417.0
20-week-foresight,2040,Hydro,SPP,4999.7
20-week-foresight,2040,Hydro,TRE,444.0
20-week-foresight,2040,Hydro,WECC,37672.3
20-week-foresight,2040,Hydrogen,CA,21.5
20-week-foresight,2040,Hydrogen,MISO,60.0
20-week-foresight,2040,Hydrogen,NE,68.5
20-week-foresight,2040,Hydrogen,PJM,47.5
20-week-foresight,2040,Hydrogen,SOU,38.5
20-week-foresight,2040,Hydrogen,SPP,38.0
20-week-foresight,2040,Hydrogen,TRE,27.5
20-week-foresight,2040,Hydrogen,WECC,57.5
20-week-foresight,2040,Natural Gas CC,CA,20913.3
20-week-foresight,2040,Natural Gas CC,MISO,57399.7
20-week-foresight,2040,Natural Gas CC,NE,39979.3
20-week-foresight,2040,Natural Gas CC,PJM,58661.7
20-week-foresight,2040,Natural Gas CC,SOU,61640.0
20-week-foresight,2040,Natural Gas CC,SPP,10967.7
20-week-foresight,2040,Natural Gas CC,TRE,39583.7
20-week-foresight,2040,Natural Gas CC,WECC,28935.3
20-week-foresight,2040,Natural Gas CT,CA,10696.7
20-week-foresight,2040,Natural Gas CT,MISO,33976.0
20-week-foresight,2040,Natural Gas CT,NE,4010.3
20-week-foresight,2040,Natural Gas CT,PJM,30401.0
20-week-foresight,2040,Natural Gas CT,SOU,31738.3
20-week-foresight,2040,Natural Gas CT,SPP,10275.7
20-week-foresight,2040,Natural Gas CT,TRE,10113.7
20-week-foresight,2040,Natural Gas CT,WECC,9267.7
20-week-foresight,2040,Nuclear,CA,4.5
20-week-foresight,2040,Nuclear,MISO,20327.3
20-week-foresight,2040,Nuclear,NE,6720.0
20-week-foresight,2040,Nuclear,PJM,33769.3
