Constraint,CapRes_1,CapRes_2,CapRes_3
t240,3.650310470077924e-11,6.515366066528256e-11,1.5626912140690291e-12
t241,8.720721428805335e-12,1.6882316427571756e-11,1.3732851619991578e-12
t242,8.67546900461404e-12,1.6612543199720687e-11,1.321562061923516e-12
t243,8.462039697421034e-12,1.0809060258411157e-11,1.2525208265577579e-12
t244,7.931427019681895e-12,1.0890268998001778e-11,1.1917169165372078e-12
t245,7.769452692158798e-12,1.1179500733695215e-11,1.1511473057553289e-12
t246,1.0241267254811955e-11,1.1844306307169461e-11,1.3055458188481203e-12
t247,9.313900263414035e-12,1.778221242973577e-11,1.121858446482218e-12
t248,9.771641601981739e-12,3.6358387698139865e-11,3.9204878396017537e-13
t249,1.052429734358075e-11,1.0252610455119867e-10,-1.1758725811350895e-12
t250,1.3400892512569648e-11,2.668337370235017e-10,3.7120843113204986e-13
t251,2.7728915600544623e-11,3.388067225897256e-9,6.195269355350929e-12
t252,2.735516077518641e-11,0.050321535519646125,6.119373413746553e-12
t253,0.017206060093165856,0.05032156924009693,4.750058920032832e-11
t254,1.0333984711199307e-10,0.05032156924406551,0.0025273590077297364
t255,2.1976274852248854e-10,0.050321569343718904,0.0005362301459787062
t256,0.017206060244406525,0.08793396877839407,0.7784603577304727
t257,0.28422352551672686,0.3549514328838144,3.4179654810637334
t258,1.2514778366905037,1.2731341413828143,3.417965481085313
t259,2.8641991579101034,2.8582296060539782,3.417965481049082
t260,3.3678937381308054,3.361924202657805,3.403469592125228
t261,2.845101997800398,2.8503371516971843,2.8793510390908477
t262,2.8512582939313083,2.850337151517044,2.879351038768762
t263,0.10310084363079057,0.10833599744501943,6.943579801635955e-12
t264,0.017206060357319242,0.02483517506156568,2.059236556350393e-12
t265,3.3598656267445274e-10,0.024835174823020358,1.8128368997691132e-12
t266,1.1473376930319344e-11,0.013431264138275499,1.652257827250784e-12
t267,1.099949090952943e-11,0.0005914576065873685,1.4273732842013454e-12
t268,1.08642398223732e-11,0.0005914574527108911,1.3769541764924813e-12
t269,1.0742726768075155e-11,0.0005914574298363934,1.3258192954150862e-12
t270,1.105700505146226e-11,0.0005914575248217812,1.4929627331225169e-12
t271,1.1533747661977686e-11,0.0005914578816273554,5.931921686120951e-13
t272,1.2752779711299478e-11,0.014906960315966136,6.678562773283392e-12
t273,1.451991250569743e-11,0.04311932876265158,-3.592060716696547e-14
t274,2.7523087651926952e-11,0.0486737792064439,1.6621309420482357e-12
t275,1.0530124248763231e-10,0.058686883667149914,8.009544258112337e-12
t276,0.017206060496469767,0.06118035331426692,1.5571370923400685e-11
t277,0.23521249139006958,0.2534108658799258,8.071062943687595e-10
t278,0.42457239081235515,0.36213453596388734,0.017206060412711808
t279,3.548145196256483,1.595309399305976,1.4577939548744783
t280,2.431712187239096,2.3692743180724625,2.2641262094986514
t281,3.983689690740955,2.3692743182273293,2.2641262095442762
t282,2.419695403788441,2.3692743183329443,2.2641262095432335
t283,2.3614451258015254,2.3660597399871452,2.248040500189875
t284,3.5320709733144513,3.52406685375646,3.028915662138489
t285,2.3419985773141168,2.3401687707849694,1.902741479162542
t286,2.3375215863702254,2.335691780324168,1.8989412684283664
t287,0.09854593250099002,0.09856809707226709,4.4018197945158315e-12
t288,6.064685410385671e-11,0.005110569614800127,1.975043766130357e-12
t289,1.3714885434604846e-10,1.4371795168390552e-10,2.3265575762727092e-11
t290,1.3584053334441804e-10,2.0579856850203063e-10,2.235390746089597e-11
t291,1.3231570275423494e-10,1.3237799977200358e-10,5.173556536310042e-12
t292,1.3141915884401404e-10,1.3933168707981507e-10,-4.813293420632106e-11
t293,1.303201846852242e-10,1.3572079722696258e-10,2.199688807550155e-11
t294,1.287915081070224e-10,1.3533041215474977e-10,-1.2530074461149248e-10
t295,1.2697021409807152e-10,1.3643527853925271e-10,-1.0129019387887809e-10
t296,1.2638413715589047e-10,1.4176592851072943e-10,-1.1304155256486902e-10
t297,1.2297109340919665e-10,1.448854661511252e-10,-1.9676696216277183e-10
t298,1.220843477002341e-10,1.132506564461523e-10,-5.455652662300077e-11
t299,9.516416753768866e-11,1.265125759204578e-10,2.1679895149850063e-11
t300,9.613932045604663e-11,1.2516970540122752e-10,1.9547336000892298e-11
t301,1.3149282554084718e-10,1.2937442546198953e-10,1.8667339330507995e-11
t302,1.317390382160037e-10,1.2466248675808581e-10,1.8822575783007752e-11
t303,1.3190726223099695e-10,1.3016235969293925e-10,1.9083400685803625e-11
t304,1.2973682762142765e-10,1.2113839334040646e-10,1.9615825836902815e-11
t305,1.292477602698342e-10,1.220497582005106e-10,2.1908391527436735e-11
t306,1.251740853360114e-10,1.486758909193625e-10,2.3371129564826376e-11
t307,1.5937296818490694e-10,1.700718218851739e-10,2.917614810672603e-11
t308,1.576100091159063e-10,1.6107196906479524e-10,2.8379680490381682e-11
t309,1.552308655640766e-10,1.248128530388704e-10,2.7197525418796736e-11
t310,1.5451355452913249e-10,1.1512320588730104e-10,2.5461731784976374e-11
t311,1.49101289811195e-10,1.116928883867206e-10,2.3840553139597347e-11
t312,1.4113082614624787e-10,1.0702154845362494e-10,2.198957441098259e-11
t313,1.3676604197887108e-10,1.0203872570532584e-10,2.0207218031091455e-11
t314,1.2811918274890666e-10,9.896449225925483e-11,1.9216965759687733e-11
t315,1.2364177822211141e-10,9.896727264666524e-11,1.9245028116407894e-11
t316,1.1252199121864885e-10,9.907189778539628e-11,1.963113851657526e-11
t317,1.091299561064578e-10,9.901425750084307e-11,2.018324114506372e-11
t318,1.1098282593371996e-10,1.0062172353721698e-10,2.1079343495786926e-11
t319,1.234125380130804e-10,1.0232302350016304e-10,2.2096112076799537e-11
t320,1.423772508993365e-10,1.0747812057380187e-10,2.3855455935005097e-11
t321,1.3415883118381978e-10,1.359064656918521e-10,2.7594904944229308e-11
t322,1.150244368393074e-10,1.0583747241473715e-10,2.5434576090769877e-11
t323,1.1769522326724585e-10,1.1286956887028022e-10,2.5925753016443312e-11
t324,1.206104058114133e-10,1.1881657960035224e-10,2.594261099731903e-11
t325,1.223771525027798e-10,1.1819190660319598e-10,2.6008306603552192e-11
t326,1.2166850135207362e-10,1.1775149584434112e-10,2.642297292270784e-11
t327,1.2219108775374187e-10,1.137565110612029e-10,2.6905518699822875e-11
t328,1.3377507954111215e-10,1.174659124126053e-10,2.6990636785895715e-11
t329,1.62053318925203e-10,1.3310764831563538e-10,3.278397551659681e-11
t330,1.634095921538259e-10,1.9668038797427474e-10,4.941423954880148e-11
t331,1.7541471852411496e-10,2.1370036039903262e-10,6.058737837605376e-11
t332,1.6731761211599783e-10,2.0423387240867097e-10,5.6798316958245317e-11
t333,1.6249147849666368e-10,2.0238252463667398e-10,5.4594828332231094e-11
t334,1.5503639521460243e-10,1.9924148592431855e-10,5.16172729512215e-11
t335,1.453509284426148e-10,1.8931783056311047e-10,4.5932026284521706e-11
t336,1.3675167015230485e-10,1.735365395685483e-10,4.169383144772151e-11
t337,1.3119456311885018e-10,1.6563735812028648e-10,3.449170834037525e-11
t338,1.2530279720961271e-10,1.415701427616108e-10,3.4363441517024305e-11
