Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
t50,-6.744866134624552e-5,0.00032746102651075906,5.705479995958376e-5,0.0001720037111969517,0.0001192809963838485,0.0010045567203906289,-0.00011819612620854376,-0.00011608835218335887,-3.07815407270711e-5,-2.644008534985564e-5,-3.0514751791587418e-5,-3.247619001980051e-5,-4.895624651623799e-5,-5.4991274655337274e-5,0.00025562443949165014,-2.1994155218995006e-5,0.001388094309916389
t51,-6.101131708707335e-5,0.0003005424091067162,5.042125435959134e-5,0.0001638752416746636,0.00010655097667747993,0.0012046352319732047,-0.00014378495546688664,-0.000139171640528432,-1.927553566877873e-5,-1.578664913536376e-5,-2.1318536873492845e-5,-2.300880867442882e-5,-3.6655779685367526e-5,-3.1792003568717916e-5,0.0002364819010954247,-2.6918457975940397e-5,0.0015437833302225984
t52,-6.4630772222073e-5,0.0002741215577459075,4.609848109616036e-5,0.0001558944246677597,9.430918776329265e-5,0.0009748797855892535,-0.00017525578790910556,-0.0001678437666398185,-9.643172498163678e-6,-6.2731134672150676e-6,-1.7879299013708643e-5,-1.9789274755771215e-5,-3.149974008370911e-5,-1.171964083486862e-5,0.00022131960365430288,-3.180299499597574e-5,0.0012302854780962677
t53,-6.156225694013538e-5,0.00025294638465677614,4.417399342519607e-5,0.00014540798530772168,8.386782685897486e-5,0.0008134345362160843,-0.000221233969015671,-0.00021079584136989078,-6.520391332838179e-7,2.030377649744538e-6,-1.8821522604386352e-5,-2.03012840540107e-5,-3.073769412626929e-5,1.0648307119715195e-5,0.00020475240617293255,-4.568586386566929e-5,0.0009474713462978285
t54,-5.755374847624142e-5,0.00023126318280261807,4.021203908014901e-5,0.00012571203845549515,7.397766103266521e-5,0.0007033450991042468,-0.0002806100924888082,-0.0002670662892811738,4.218392983068567e-6,6.570006810868406e-6,-2.426073080331687e-5,-2.5246816641706266e-5,-3.534496994142921e-5,2.7372015863043794e-5,0.00019030986775457858,-6.843462752859357e-5,0.0006444630287254641
t55,-6.006063419625689e-5,0.00020486980120000916,3.2024893047444545e-5,0.00011343277600542993,6.259383951730238e-5,0.0006690216836615361,-0.0004117037093582514,-0.0004053703463754921,-1.6899087186159177e-5,-1.6707790224930736e-5,-5.590018668150472e-5,-5.449503802896121e-5,-6.80832961070445e-5,1.989655743785787e-5,0.00018309909391330144,-9.77278673936345e-5,9.799068923064619e-5
t56,-7.088307631081271e-5,0.0002026037380065782,3.771083921716682e-5,0.00010251527393881299,4.985438282391075e-5,0.0006513687762128017,-0.0005832812444215917,-0.000565079134807189,-2.0815464403197535e-6,-2.0606205444797457e-6,-5.85518112913961e-5,-5.701974075145031e-5,-7.144639235289363e-5,4.763117722705969e-5,0.00016777121606485973,-0.00013215775695097495,-0.0002831059203799181
t57,-5.9207780727125565e-5,0.000257717610570577,6.2112484011388e-5,0.00010631126060558157,5.7375938392681863e-5,0.0004698468460307834,-0.0012612153861793246,-0.0012220102270223514,6.785783906887171e-5,7.233655584138702e-5,-4.2975888593662066e-5,-4.3860769338376754e-5,-5.570920799512659e-5,0.00014404399863221124,0.00016627170052960932,-0.0001384621246520074,-0.0014195671508248832
t58,-6.349515302721053e-5,2.0856453464779145e-8,2.1497872643379477e-5,8.18629587545991e-5,2.73758860032308e-5,0.00041798648880217963,-3.590018222620872e-6,-3.1955254783922326e-6,0.00016946020407034856,0.0001726286065027975,-4.8805760488772685e-6,-4.818249063173636e-6,1.188580206821474e-6,0.0002864222995729667,0.00014544776488045115,0.00022036457787304704,0.0014642765739230118
t59,-6.25873534427608e-5,-3.1753476272462163e-9,1.4129410064107607e-6,7.45696720557374e-5,1.9303167216645107e-5,0.00038291794587973996,0.0004302949447310828,0.00042658669161675157,0.0005059708587571385,0.0005184824380917778,2.474443480691142e-5,2.5228960726025193e-5,5.4121038359047146e-5,0.0013213730645096435,0.00013288302542844712,0.00019330458494663788,0.004048603239341608
t60,-5.900697107013083e-5,-1.0292628384300683e-8,4.1398233860537176e-7,6.705611075643194e-5,8.739059214048626e-6,0.0003570996536175233,0.000188292613644358,0.00018754153933144794,0.0006490014736825855,0.0006624107897785288,3.637186489105387e-5,3.7284332905951914e-5,7.190222331623397e-5,0.0017006144577924468,0.00012148010028722486,0.000136237934138049,0.004165428871995974
t61,-6.441694505829157e-5,-1.157687752926924e-9,1.6023354226006467e-7,6.112151790131702e-5,1.4952367994848424e-6,0.0003176838614425777,0.00012296825525574595,0.00012231902941962705,0.0007735463731225441,0.0007673064161607511,4.253445999953149e-5,4.347147943016486e-5,7.954250789341216e-5,0.00033923865357244584,0.0001120519928987897,0.00011451410067543085,0.0028335360153680382
t62,-6.148061153544422e-5,-3.8037569738913815e-9,-1.9667679399236712e-7,5.3862507573820004e-5,-8.01231371184268e-6,0.0002906348740919629,8.915668134370946e-5,8.96251825293403e-5,0.0007359308400331236,0.000737237768069129,4.308459540034179e-5,4.363869163875689e-5,7.809074421746712e-5,0.00030839420004349916,0.00010376571832145868,9.232999510775204e-5,0.0025960583925721077
