region,technology,cluster,spur_miles,max_capacity
CANO,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
CASO,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
FRCC,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
ISNE,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
MISC,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
MISE,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
MISS,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
MISW,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
NWPP,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
NYCW,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
NYUP,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
PJMC,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
PJMD,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
PJME,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
PJMW,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
RMRG,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
SPPC,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
SPPN,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
SPPS,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
SRCA,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
SRCE,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
SRSE,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
SRSG,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
TRE,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
BASN,naturalgas_ctavgcf,,10,-1
CANO,naturalgas_ctavgcf,,10,-1
CASO,naturalgas_ctavgcf,,10,-1
FRCC,naturalgas_ctavgcf,,10,-1
ISNE,naturalgas_ctavgcf,,10,-1
MISC,naturalgas_ctavgcf,,10,-1
MISE,naturalgas_ctavgcf,,10,-1
MISS,naturalgas_ctavgcf,,10,-1
MISW,naturalgas_ctavgcf,,10,-1
NWPP,naturalgas_ctavgcf,,10,-1
NYCW,naturalgas_ctavgcf,,10,-1
NYUP,naturalgas_ctavgcf,,10,-1
PJMC,naturalgas_ctavgcf,,10,-1
PJMD,naturalgas_ctavgcf,,10,-1
PJME,naturalgas_ctavgcf,,10,-1
PJMW,naturalgas_ctavgcf,,10,-1
RMRG,naturalgas_ctavgcf,,10,-1
SPPC,naturalgas_ctavgcf,,10,-1
