case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1
all,2045,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2045,MISW,0,0,0.194,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0
all,2045,NWPP,0.212,0,0,0,0,0,0,0,0.749,0,0,0,0,0,0,0,0,0
all,2045,NYCW,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,11.12
all,2045,NYUP,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,8.05
all,2045,PJMC,0,0,0,0,0.485,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2045,PJMD,0,0,0,0,0.572,0,0,0,0,0,0,0,0.762,0,0,0,1,14.51
all,2045,PJME,0,0,0,0,0.342,0,0,0,0,0,0,0,0.001,0,0,0,1,65.58
all,2045,PJMW,0,0,0,0,0.054,0,0,0,0,0,0,0,0.046,0,0,0,0,0
all,2045,RMRG,0.181,0,0,0,0,0,0,0,0.328,0,0,0,0,0,0,0,0,0
all,2045,SPPC,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0
all,2045,SPPN,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0.091,0,0,0,0
all,2045,SPPS,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0.069,0,0,0,0
all,2045,SRCA,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0.188,0,0,0
all,2045,SRCE,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.006,0,0,0
all,2045,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2045,SRSG,0.159,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0,0,0
all,2045,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2045,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2050,BASN,0.202,0,0,0,0,0,0,0,0.448,0,0,0,0,0,0,0,0,0
all,2050,CANO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
all,2050,CASO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
all,2050,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2050,ISNE,0,0.587,0,0,0,0,0,0,0,0.768,0,0,0,0,0,0,1,17.12
