case_id,year,flex_resource,ng_price,limitedtransmission,ira,min_cap,existing_clusters,hydrogen_gen,time_reduction,policies,period_years,econ_retirement,wacc,misc_file,carbon_slack,ccs,ccs_credit,alternative_carbon_slack
base_52_week_no_ccs,2045,none,reference,no,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
base_52_week_no_ccs,2050,none,reference,no,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
base_52_week_tx_0,2027,none,reference,yes_0,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_0,2030,none,reference,yes_0,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_0,2035,none,reference,yes_0,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_0,2040,none,reference,yes_0,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_0,2045,none,reference,yes_0,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_0,2050,none,reference,yes_0,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
current_policies_20_week,2027,none,reference,no,yes,base,none,greenfield,20_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_20_week,2030,none,reference,no,yes,base,none,greenfield,20_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_20_week,2035,none,reference,no,yes,base,none,greenfield,20_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_20_week,2040,none,reference,no,yes,base,none,greenfield,20_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_20_week,2045,none,reference,no,no,base,none,greenfield,20_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
current_policies_20_week,2050,none,reference,no,no,base,none,greenfield,20_weeks,existing,five,no,standardize_5,no_ramp,base,yes,high,none
