case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1,copy_case_id
all,2045,NYCW,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,11.12,
all,2045,NYUP,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,8.05,
all,2045,PJMC,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,PJMD,0,0,0,0,0.9361,0,0,0,0,0,0,0,0,0,0,0,1,14.51,
all,2045,PJME,0,0,0,0,0.3808,0,0,0,0,0,0,0,0,0,0,0,1,65.58,
all,2045,PJMW,0,0,0,0,0.0974,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,RMRG,0.1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,SPPC,0,0,0,0,0,0.0688,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,SPPN,0,0,0,0,0,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,SPPS,0,0,0,0,0,0.0362,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,SRCA,0,0,0,0,0,0,0.0738,0,0,0,0,0,0,0,0,0,0,0,
all,2045,SRCE,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,
all,2045,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,SRSG,0.2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,BASN,0.1786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,CANO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
all,2050,CASO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
all,2050,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,ISNE,0,0.5638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.12,
all,2050,MISC,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,MISE,0,0,0.1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,MISW,0,0,0.1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,NWPP,0.2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,NYCW,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,11.12,
all,2050,NYUP,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,8.05,
all,2050,PJMC,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,PJMD,0,0,0,0,0.9667,0,0,0,0,0,0,0,0,0,0,0,1,14.51,
all,2050,PJME,0,0,0,0,0.3809,0,0,0,0,0,0,0,0,0,0,0,1,65.58,
all,2050,PJMW,0,0,0,0,0.1005,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,RMRG,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,SPPC,0,0,0,0,0,0.0686,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,SPPN,0,0,0,0,0,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,SPPS,0,0,0,0,0,0.0408,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,SRCA,0,0,0,0,0,0,0.0738,0,0,0,0,0,0,0,0,0,0,0,
all,2050,SRCE,0,0,0,0,0,0,0.0066,0,0,0,0,0,0,0,0,0,0,0,
all,2050,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,SRSG,0.3117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2050,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
