model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,MISS,MISS_natural_gas_fired_combined_cycle_1,Natural Gas,2035,20-week-foresight-current-policy,MWh,68372353
USENSYS,MISS,MISS_natural_gas_fired_combined_cycle_1,Natural Gas,2040,20-week-foresight-current-policy,MWh,74952219
USENSYS,MISS,MISS_natural_gas_fired_combined_cycle_1,Natural Gas,2045,20-week-foresight-current-policy,MWh,73395321
USENSYS,MISS,MISS_natural_gas_fired_combined_cycle_1,Natural Gas,2050,20-week-foresight-current-policy,MWh,49987381
USENSYS,MISS,MISS_natural_gas_fired_combined_cycle_2,Natural Gas,2035,20-week-foresight-current-policy,MWh,1013639
USENSYS,MISS,MISS_natural_gas_fired_combined_cycle_2,Natural Gas,2040,20-week-foresight-current-policy,MWh,1900938
USENSYS,MISS,MISS_natural_gas_fired_combined_cycle_2,Natural Gas,2045,20-week-foresight-current-policy,MWh,1694187
USENSYS,MISS,MISS_natural_gas_fired_combined_cycle_2,Natural Gas,2050,20-week-foresight-current-policy,MWh,1059459
USENSYS,MISS,MISS_natural_gas_fired_combustion_turbine_1,Natural Gas,2035,20-week-foresight-current-policy,MWh,83176
USENSYS,MISS,MISS_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,20-week-foresight-current-policy,MWh,1391173
USENSYS,MISS,MISS_natural_gas_fired_combustion_turbine_1,Natural Gas,2045,20-week-foresight-current-policy,MWh,1647436
USENSYS,MISS,MISS_natural_gas_fired_combustion_turbine_1,Natural Gas,2050,20-week-foresight-current-policy,MWh,779210
USENSYS,MISS,MISS_natural_gas_fired_combustion_turbine_2,Natural Gas,2035,20-week-foresight-current-policy,MWh,85443
USENSYS,MISS,MISS_natural_gas_fired_combustion_turbine_2,Natural Gas,2040,20-week-foresight-current-policy,MWh,133875
USENSYS,MISS,MISS_natural_gas_fired_combustion_turbine_2,Natural Gas,2045,20-week-foresight-current-policy,MWh,193029
USENSYS,MISS,MISS_natural_gas_fired_combustion_turbine_2,Natural Gas,2050,20-week-foresight-current-policy,MWh,94977
USENSYS,MISS,MISS_natural_gas_internal_combustion_engine_1,Natural Gas,2027,20-week-foresight-current-policy,MWh,21073
USENSYS,MISS,MISS_natural_gas_internal_combustion_engine_1,Natural Gas,2030,20-week-foresight-current-policy,MWh,30888
USENSYS,MISS,MISS_natural_gas_internal_combustion_engine_1,Natural Gas,2035,20-week-foresight-current-policy,MWh,76602
USENSYS,MISS,MISS_natural_gas_internal_combustion_engine_1,Natural Gas,2040,20-week-foresight-current-policy,MWh,114501
USENSYS,MISS,MISS_natural_gas_internal_combustion_engine_1,Natural Gas,2045,20-week-foresight-current-policy,MWh,100065
USENSYS,MISS,MISS_natural_gas_internal_combustion_engine_1,Natural Gas,2050,20-week-foresight-current-policy,MWh,63289
USENSYS,MISS,MISS_natural_gas_steam_turbine_1,Natural Gas,2035,20-week-foresight-current-policy,MWh,35963
USENSYS,MISS,MISS_natural_gas_steam_turbine_1,Natural Gas,2040,20-week-foresight-current-policy,MWh,36380
USENSYS,MISS,MISS_natural_gas_steam_turbine_1,Natural Gas,2045,20-week-foresight-current-policy,MWh,28800
USENSYS,MISS,MISS_natural_gas_steam_turbine_1,Natural Gas,2050,20-week-foresight-current-policy,MWh,19271
USENSYS,MISS,MISS_naturalgas_hframe_cc_moderate_0,MISS_naturalgas_hframe_cc_moderate_0,2045,20-week-foresight-current-policy,MWh,17425787
USENSYS,MISS,MISS_naturalgas_hframe_cc_moderate_0,MISS_naturalgas_hframe_cc_moderate_0,2050,20-week-foresight-current-policy,MWh,76082906
USENSYS,MISS,MISS_nuclear_1,Nuclear,2027,20-week-foresight-current-policy,MWh,47367920
USENSYS,MISS,MISS_nuclear_1,Nuclear,2030,20-week-foresight-current-policy,MWh,47334514
USENSYS,MISS,MISS_nuclear_1,Nuclear,2035,20-week-foresight-current-policy,MWh,47281138
USENSYS,MISS,MISS_nuclear_1,Nuclear,2040,20-week-foresight-current-policy,MWh,47103430
