Constraint,CapRes_1,CapRes_2,CapRes_3
t77,1.7522820287057601e-10,3.21835154895287e-10,4.4424176002628367e-11
t78,1.9565437442828835e-10,3.2442584632060407e-10,4.6406719052776266e-11
t79,2.01697634356444e-10,4.693124645818588e-10,6.170226440038418e-11
t80,2.2537192596513946e-10,3.714447882781869e-10,5.712823183528585e-11
t81,2.6711635441080654e-10,5.461425993735533e-10,6.020654510841724e-11
t82,2.102249461425152e-10,3.0622041582518353e-10,4.120463857962e-11
t83,2.0311634752648617e-10,2.2987346299896493e-10,3.217027073964899e-11
t84,2.1849284841028332e-10,2.1976669130461928e-10,3.0699912206461776e-11
t85,2.5575091831653653e-10,2.1364669447641883e-10,2.900896479875511e-11
t86,2.417334574285258e-10,2.0805346909052892e-10,2.8670911608531346e-11
t87,2.2328221766370737e-10,2.0616613982951274e-10,3.0211249916634304e-11
t88,2.1938334035034608e-10,2.544767431559803e-10,3.5367868479988114e-11
t89,2.40535195406584e-10,5.122400628995284e-10,4.7511943953598415e-11
t90,3.1533307797670775e-10,1.0020554204803661e-9,1.063585162031534e-10
t91,3.9193204966424707e-10,3.5394420725722764e-9,1.628011782685586e-10
t92,3.88076249270082e-10,4.1179381229339276e-9,1.6041233170844936e-10
t93,3.6165985669250686e-10,2.555105395482132e-9,1.427943302553504e-10
t94,3.0958537173479897e-10,1.202971460673975e-9,1.2003330190392983e-10
t95,2.583910608069982e-10,1.0538809961937327e-9,8.381966241199815e-11
t96,2.175174027306908e-10,7.355806304287234e-10,6.865115631166865e-11
t97,1.346958735188799e-10,2.1144299649166863e-10,2.7487413340567658e-11
t98,1.321936874115254e-10,2.051028078343622e-10,2.3018071358963266e-11
t99,1.313858605980231e-10,1.8402710943771416e-10,2.2613170797019528e-11
t100,1.3471312318731442e-10,1.580959080216144e-10,2.256450937549058e-11
t101,1.3616715362745587e-10,1.5366898717324097e-10,2.2897898129648982e-11
t102,1.341046102155793e-10,2.295933069113527e-10,6.421672406497992e-11
t103,9.430576143052877e-11,1.749810470334228e-10,1.9311978289997904e-11
t104,1.0335240218219217e-10,9.395610934444928e-11,-5.547355821405085e-12
t105,1.0861245442955979e-10,9.025755882432401e-11,1.8600378209977932e-11
t106,1.0611479927497915e-10,9.7142304082791e-11,-4.109235571382669e-11
t107,1.0980018471541178e-10,1.085086987272494e-10,-2.2860744252891863e-11
t108,1.1792046340929608e-10,1.2241841512721347e-10,2.0586127133420773e-11
t109,1.2543529671318215e-10,1.3243458125324148e-10,2.214939836278377e-11
t110,1.3677859006191198e-10,1.5112781384124007e-10,2.4432039208599257e-11
t111,1.3034943899572395e-10,1.4205745535121188e-10,2.5275480515469755e-11
t112,1.28552820757467e-10,1.623895984598578e-10,2.5524136685109527e-11
t113,1.7372139278424875e-10,1.6071414043321366e-10,2.7733700193637434e-11
t114,1.9751519958545417e-10,2.0290592780830097e-10,2.8103423798081313e-11
t115,1.7054366492960112e-10,3.2519381587030963e-10,3.864974491528401e-11
t116,2.0469959804266154e-10,6.298382791516882e-10,5.23860033350018e-11
t117,1.7661128079006981e-10,4.417415005210224e-10,1.1552485011398434e-10
t118,1.8645137763124497e-10,3.2647107491077977e-10,6.228182552258179e-11
t119,2.1153487012669804e-10,2.7066931094013914e-10,5.1239096077228074e-11
t120,1.4380415038330564e-10,3.150233941837053e-10,4.132895354394043e-11
t121,1.265389758432336e-10,2.577093051686185e-10,3.2487617272605045e-11
t122,1.2248007377925685e-10,2.375622094331284e-10,3.300657636780809e-11
t123,1.2051898339075301e-10,2.2233545828744196e-10,3.978447036166672e-11
t124,1.534978378605975e-10,3.2359225583657783e-10,3.5019378211617075e-11
t125,1.5466689227007458e-10,2.0629397487558787e-10,3.6161987874293516e-11
t126,3.130520290732316e-10,2.107904558485023e-10,3.559638044267058e-11
t127,1.6896320783685873e-10,2.0542202303280028e-10,3.803936708454539e-11
t128,1.7864620397647062e-10,2.388289295743165e-10,3.749164706350844e-11
t129,1.5754670995439403e-10,3.2545562293307224e-10,3.573151334873498e-11
t130,2.1179664853749662e-10,2.482506989643748e-10,4.81574695849201e-12
t131,2.282479950195402e-10,2.6239924870665474e-10,3.764343197687973e-11
t132,2.0596416225602712e-10,2.84253051340967e-10,2.4259113875371393e-11
t133,1.9231685091914238e-10,1.6820016608721304e-10,3.619903321711527e-11
t134,1.936029570061683e-10,2.580826912787712e-10,2.808337818432773e-11
t135,2.0040994832514956e-10,2.0562818586654e-10,4.209642420210027e-11
t136,2.369129683241928e-10,2.693883088615847e-10,3.305233661048534e-11
t137,2.7636270954698346e-10,3.797386387823941e-10,3.518050610949428e-11
t138,4.5123092340591557e-10,1.2417008955422234e-9,3.770292330651341e-11
t139,4.277753768047516e-10,7.991030509214956e-10,4.854503396502446e-11
t140,2.3750362435202727e-10,1.0092377046613325e-9,6.108113910985611e-11
t141,2.538325492949428e-10,6.494612483850461e-10,6.827746432084924e-11
t142,3.0124839059681643e-10,6.15858702212452e-10,7.079317888733864e-11
t143,2.726789519193599e-10,5.247284149786593e-10,5.430701567702308e-11
t144,2.2467841881151616e-10,4.3150011904544213e-10,3.663523579055893e-11
t145,2.47342963032516e-10,3.673888798317015e-10,1.7143143340409777e-11
t146,1.4141871304198605e-10,4.634911987581179e-10,3.20578767796631e-11
t147,1.3469858463502241e-10,3.008059878178448e-10,3.048829426235373e-11
t148,2.0667353160402514e-10,3.116707806355559e-10,2.780709526218573e-11
t149,1.4655228015391156e-10,4.281698783621227e-10,5.338006607391079e-11
t150,1.478507363592268e-10,4.5603880201853513e-10,3.328748140949301e-11
t151,1.5805525032181974e-10,3.762939044631877e-10,3.201535085755397e-11
t152,1.739928549241585e-10,3.289320029384202e-10,4.765563890108859e-11
t153,2.108678281632416e-10,1.9859384942153468e-10,1.3990523918477756e-11
t154,2.541145383924218e-10,2.3787943785150227e-10,1.1615745530649191e-11
t155,1.9913724931950968e-10,2.5261941658977577e-10,2.664064212258644e-11
t156,2.1470168496469273e-10,1.6964677667615488e-10,2.832296601618788e-11
t157,2.8379706218359787e-10,2.273727319173943e-10,2.586158593262548e-11
t158,2.705335194030996e-10,1.6354808881280383e-10,2.628809293908344e-11
t159,2.994096562770036e-10,2.442511892407745e-10,2.1988130167716494e-11
t160,2.9480801774729764e-10,2.6349190954870087e-10,3.055071438299665e-11
t161,3.192959215561744e-10,1.8527390708467694e-10,2.8826764383658952e-11
t162,3.3105030186564575e-10,2.687333686758546e-10,4.04453588903532e-11
t163,3.661263270267086e-10,3.858334188070449e-10,3.9515765721834245e-11
t164,3.376312310778901e-10,8.639861334307509e-10,8.081557425548849e-11
t165,3.0826080895484496e-10,7.996631193464796e-10,5.280993905223002e-11
t166,3.081296073045291e-10,5.313078117338297e-10,3.9747053535571636e-11
t167,2.388476752123464e-10,3.380640087157381e-10,3.519209548158355e-11
t168,1.7667625414869383e-10,3.051982296991522e-10,3.0873491356805816e-11
t169,1.9075732859933837e-10,4.145288217115786e-10,2.9331123693848506e-11
t170,1.7650333542369052e-10,2.573021255790539e-10,2.746084561216829e-11
t171,1.2912371278458545e-10,3.6041931870918946e-10,2.555492838240937e-11
t172,1.755377625893351e-10,3.3530214499153635e-10,2.6262826713973386e-11
t173,1.3301124532199823e-10,2.1594201307369716e-10,8.660514719935685e-12
t174,1.5666434401833524e-10,3.2841119614373323e-10,2.743905204743895e-11
t175,1.41849138259187e-10,3.0886092643633207e-10,2.592017094444652e-11
t176,1.5651327640681238e-10,1.7602984184959477e-10,2.385938740577853e-11
t177,1.8672771351875588e-10,1.7276360427217478e-10,2.0794500110256875e-11
t178,1.991912535614841e-10,1.954338522293439e-10,2.0356022185076356e-11
t179,2.1611687399310278e-10,2.1916706332926896e-10,2.0548794940929406e-11
t180,2.991440178032496e-10,1.5930529127893613e-10,2.0727157705936656e-11
t181,2.28620897682242e-10,1.4749189970657754e-10,2.156120663758133e-11
t182,2.051974012102093e-10,1.3562303477954188e-10,2.1404290588097627e-11
t183,2.1009887277252638e-10,1.2739032180940617e-10,2.195441392051439e-11
t184,2.3010526793903206e-10,1.2979354830094635e-10,2.2555424295441097e-11
t185,2.1599796232629437e-10,1.423075946921947e-10,2.414036628078931e-11
t186,2.1282604196898673e-10,1.5010241492782982e-10,2.714339883473277e-11
t187,1.8984533829424012e-10,2.1484678587087786e-10,2.8267978677554376e-11
t188,1.7828652795054225e-10,4.832316600602325e-10,1.8372906338713647e-11
t189,1.77067611400887e-10,2.928183444407887e-10,4.6331981595279044e-11
t190,1.732618486301205e-10,2.8250512933913517e-10,3.4510458908670955e-11
t191,1.6318993402358688e-10,2.623389526006522e-10,3.218610711066001e-11
t192,1.3748453688038178e-10,2.1078064619399556e-10,2.75633487494815e-11
