Region,Resource,Zone,Cluster,AnnualSum
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,0.3133785006219586
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,9.671317813232988e6
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,0.03974889887457696
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.09618824710253594
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,0.11739297145363185
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,0.09050822407429433
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,1.293405387822289e7
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.24505347651791137
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,4.200509902704523e7
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,0.1358266122584936
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,1.0064803624023598e7
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_1,11,1,0.07932666046521247
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_2,11,2,0.10230961773317024
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_3,11,3,0.021231867583829046
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_4,11,4,0.03814504030350958
PJM_Rest,PJM_Rest_nuclear_1,11,1,3.7216791315812245e7
NENG_Rest,NENG_Rest_naturalgas_ccavgcf_moderate_0,1,0,0.16871540667834176
NENG_Rest,NENG_Rest_naturalgas_ctavgcf_moderate_0,1,0,0.04788624504234374
NENG_Rest,NENG_Rest_nuclear_nuclear_moderate_0,1,0,0.03392712175417969
NENG_Rest,NENG_Rest_naturalgas_ccs100_moderate_0,1,0,0.037874227680886566
NY_Z_A,NY_Z_A_naturalgas_ccavgcf_moderate_0,2,0,0.19682061058729583
