region,Resource,zone,Cluster,R_ID,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,Total
PJM_EMAC,PJM_EMAC_solar_photovoltaic_1,10,1,117,0.0,0.0,0.00044074235555482564,1.8781897078717583e-16,0.0,0.0,0.0004407423555550135
PJM_Rest,PJM_Rest_onshore_wind_turbine_1,11,1,118,0.0,0.0,440725.69049264817,1.8781186909888373e-7,0.0,0.0,440725.690492836
PJM_Rest,PJM_Rest_solar_photovoltaic_1,11,1,119,0.0,0.0,51054.43324757824,2.175645473104503e-8,0.0,0.0,51054.4332476
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_0,1,0,120,4.4563121792208984e-13,0.00162658415698612,0.0,0.0,0.0,0.0,0.0016265841574317512
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_1,1,1,121,1.2060569204796973e-12,0.00440218952438543,0.0,0.0,0.0,0.0,0.004402189525591487
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_2,1,2,122,6.782244144905116e-5,247556.5093117703,0.0,0.0,0.0,0.0,247556.50937959272
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_3,1,3,123,6.822375258576094e-5,249021.32216765135,0.0,0.0,0.0,0.0,249021.3222358751
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_4,1,4,124,1.250723946016332e-11,0.0456522719579535,0.0,0.0,0.0,0.0,0.04565227197046074
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_5,1,5,125,4.69354486151648e-13,0.0017131756943430875,0.0,0.0,0.0,0.0,0.0017131756948124421
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_0,1,0,126,3.415894323409906e-11,0.12468245861017703,0.0,0.0,0.0,0.0,0.12468245864433597
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_1,1,1,127,3.9648655718178306e-5,144720.28135214967,0.0,0.0,0.0,0.0,144720.28139179831
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_2,1,2,128,7.600997847539752e-12,0.02774415745320453,0.0,0.0,0.0,0.0,0.027744157460805528
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_3,1,3,129,1.092904654055441e-5,39891.76080778466,0.0,0.0,0.0,0.0,39891.76081871371
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_4,1,4,130,5.026806881881892e-13,0.0018348185911264848,0.0,0.0,0.0,0.0,0.0018348185916291656
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_5,1,5,131,1.2008306462908529e-12,0.004383113269280864,0.0,0.0,0.0,0.0,0.0043831132704816944
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_0,1,0,132,5.612708156834042e-12,0.020486765286019858,0.0,0.0,0.0,0.0,0.020486765291632566
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_1,1,1,133,3.7623296511584307e-13,0.0013732758293884477,0.0,0.0,0.0,0.0,0.0013732758297646805
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_2,1,2,134,2.916747214973919e-13,0.0010646325075545813,0.0,0.0,0.0,0.0,0.001064632507846256
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_3,1,3,135,2.8260735175841506e-13,0.0010315359932849422,0.0,0.0,0.0,0.0,0.0010315359935675495
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_4,1,4,136,3.9011123846951974e-13,0.001423932468006974,0.0,0.0,0.0,0.0,0.0014239324683970854
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_5,1,5,137,3.459736509247543e-13,0.0012628272811606271,0.0,0.0,0.0,0.0,0.0012628272815066008
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_0,1,0,138,3.6569467604972355e-13,0.0013348103598537552,0.0,0.0,0.0,0.0,0.0013348103602194498
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_1,1,1,139,6.94120432757222e-13,0.002533586637461828,0.0,0.0,0.0,0.0,0.0025335866381559487
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_2,1,2,140,3.3274318507055643e-13,0.0012145351838333109,0.0,0.0,0.0,0.0,0.001214535184166054
