Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
t10,-8.419548822541526e-8,-7.683846694157902e-9,-8.284101953877742e-8,-1.5361729994500376e-8,-1.700012460000842e-8,5.507555484683051e-6,2.5505557997493366e-5,2.5464187506034278e-5,2.569884454665819e-5,2.6374814521121705e-5,2.5068675681594186e-5,2.479466161100856e-5,2.3338148262416842e-5,1.6311525169229868e-5,2.1025616678635707e-5,5.959841957637989e-5,0.00027848092482620276
t11,-9.873457783865467e-8,-2.177728577930144e-8,-1.0078088614015872e-7,-1.4746591365212885e-8,-2.0124105825738128e-8,2.9587159496108e-6,1.482716860796243e-5,1.486767751947913e-5,1.5069026232677252e-5,1.551956079602215e-5,1.4539588190886826e-5,1.4448590269002889e-5,1.3327341317481465e-5,9.117321558513131e-6,1.0361860081321799e-5,3.4719641430403276e-5,0.0001595003285064121
t12,-1.093834345276447e-7,-5.470524247535205e-8,-1.2908614558249243e-7,-8.731390131361098e-8,-1.3168066589899278e-7,1.2746485613056625e-6,7.054501157999884e-6,7.088377127589613e-6,7.335302120868388e-6,7.728301122211934e-6,6.9141907602721095e-6,6.962485041333056e-6,5.990246742974852e-6,3.787169003069287e-6,1.3122640356224573e-5,3.837961184741249e-5,0.00010512530445146376
t13,-1.035242195692596e-7,5.0440970578987616e-8,-6.714478272926923e-8,-8.873531444024911e-8,-3.5406097594749426e-8,-8.707316014390648e-8,3.5878233964972197e-6,3.6125774730410555e-6,3.8438010735070385e-6,3.831620650681607e-6,3.400365490088649e-6,3.5738745604270632e-6,2.8467861341974848e-6,1.9724623843979984e-6,4.965716140247687e-6,2.6726521466699863e-5,5.803010616588722e-5
t14,-1.0402337868553058e-7,-6.375136925022572e-8,-6.742936130579237e-8,-4.3314662158397946e-8,-4.392988259194042e-8,-1.0244254848151657e-6,-6.949666512705654e-6,-7.019190558842579e-6,-6.3240772546831e-6,-6.274699437053451e-6,-6.615833459772303e-6,-6.445270089956013e-6,-7.0631997253305344e-6,-6.356920541034946e-6,-3.234245684334756e-6,1.6734900486445256e-5,-4.089507691607513e-5
t15,-1.0047067426189513e-7,8.167573301441725e-9,-8.293229380310835e-8,-5.786493193359991e-8,1.0297525619267827e-8,-1.6008499736908927e-6,-1.0285862102861186e-5,-1.0223219944045932e-5,-9.504137877699879e-6,-7.830476162286342e-6,-9.83734540865723e-6,-9.51746224338036e-6,-9.675334503117328e-6,-6.312116918543341e-6,-9.354313246244907e-6,1.0659142189330474e-5,-7.370477899227482e-5
t16,-9.657469476638448e-8,6.396229179256772e-9,-9.675094224050322e-8,-6.20085802520789e-8,-2.2896616967532787e-7,-2.1127061483704e-6,-1.740310820819364e-5,-1.7330422669138616e-5,-1.675728829623157e-5,-1.2980204297397715e-5,-1.705375291250972e-5,-1.665433885928887e-5,-1.6598078594732637e-5,-1.0291210267119587e-5,-1.2492386976150044e-5,9.234661004985958e-6,-0.00013091674038190188
t17,-1.0675007265305523e-7,1.3758364136722692e-8,-1.7131169392273095e-7,-8.403581320362064e-6,-1.298013631686001e-7,-2.895112604088026e-6,-2.627330988153008e-5,-2.615353249022488e-5,-2.5812719065518957e-5,-1.9394599373697512e-5,-2.5986574066046173e-5,-2.536900476214564e-5,-2.462726290550548e-5,-1.5434357869977377e-5,-1.7856594724116034e-5,5.374834137417239e-6,-0.00021322591969140267
t18,-1.4576215030487187e-7,5.138562122832526e-8,-8.358671768714799e-8,-9.153538186794821e-6,1.1755889536779003e-7,-3.5872449367620354e-6,-3.873851268201467e-5,-3.8644859104246284e-5,-3.832660956152242e-5,-3.7493233630105986e-5,-3.837084937224181e-5,-3.75454668802687e-5,-3.6353412682271984e-5,-2.1989632285023346e-5,-2.6913136447913154e-5,-2.399622412133595e-7,-0.0003274168623617744
t19,3.56126832236333e-6,2.1533267166100463e-5,-1.0314791068386588e-5,-6.873014348687501e-6,-1.6563624921553636e-5,-9.69066804971913e-6,-6.013958202493858e-5,-6.035299268596985e-5,-6.0868794340608475e-5,-6.142589987366648e-5,-6.052959775397274e-5,-5.9699777129940225e-5,-5.629561058952869e-5,-3.7670998036284974e-5,-3.916197303930704e-5,-5.716619181458802e-6,-0.000520209407555559
