Zone,1,2,3,4,5,6,7,8,9,10,11
t17,-1.866107558504426e-17,-1.250378855673681e-16,-1.6069588814701457e-16,-8.845637530029192e-17,-6.859286391645138e-16,-1.3398044945124154e-16,-8.193543612406171e-17,-2.8986404537123486e-17,-7.111846010798928e-17,-1.5097749244499994e-17,-5.074874982911847e-18
t18,-1.8511347028637766e-17,-1.2418164206554423e-16,-1.595078591087627e-16,-8.786475675458507e-17,-6.787265354369575e-16,-1.3296730192719965e-16,-8.136906640105994e-17,-2.882143762150624e-17,-7.067397139773946e-17,-1.4942085387355658e-17,-5.061985271235842e-18
t19,-2.1260599354386537e-17,-1.8184530632605849e-16,-2.27215356146537e-16,-1.3199842391400715e-16,-7.284929000097116e-16,-1.9354497480556228e-16,-1.2265474921127388e-16,-4.402158853696649e-17,-1.0730095731531964e-16,-1.4940844734720888e-17,-5.1205781571288914e-18
t20,-1.8274089558883316e-17,-1.8512863825503397e-16,-2.3151958252449994e-16,-1.3459634874830294e-16,-7.363736706255048e-16,-1.9707006257009843e-16,-1.2511882223608995e-16,-4.472938925605932e-17,-1.0949041750123951e-16,-1.4963458416526525e-17,-5.186081336891444e-18
t21,-1.8368950269177785e-17,-1.8050260388366457e-16,-2.2527006049811557e-16,-1.3104068394315423e-16,-7.250137657055742e-16,-1.919629936842803e-16,-1.2189561119728764e-16,-4.3647919481087725e-17,-1.0675653950943864e-16,-2.3389289712056206e-17,-7.173705831259727e-18
t22,-1.79735837828866e-17,-1.2334253943545498e-16,-1.5852177239225571e-16,-8.741350240393502e-17,-6.747282445781252e-16,-1.3207144078996012e-16,-8.102249969638524e-17,-2.862640791820106e-17,-7.039026384187117e-17,-1.4853803437304692e-17,-5.228186628853568e-18
t23,-2.4919432314076424e-17,-1.3096042235905618e-16,-1.685184795544917e-16,-9.238372857843221e-17,-7.255149966286241e-16,-1.4020364433128833e-16,-8.560964246565707e-17,-3.017870019097718e-17,-7.437623225989606e-17,-1.576621047458208e-17,-5.495982614679875e-18
t24,-2.0307924797343995e-17,-1.777043872575995e-16,-2.1961748023856526e-16,-1.312924413247452e-16,-7.902745094357629e-16,-1.8794634294706125e-16,-1.2216067589314272e-16,-4.284967514770385e-17,-1.0658492674343718e-16,-1.691122360239627e-17,-5.863451231777287e-18
t25,-2.224601363179363e-17,-2.1785036691042707e-16,-2.7072228055733213e-16,-1.5764948534855834e-16,-8.923975606702329e-16,-2.3088083988703686e-16,-1.4677331329670742e-16,-5.1910382054607574e-17,-1.2858385343390066e-16,-1.79894396223849e-17,-6.242770504340472e-18
t26,-2.3750464183433523e-17,-2.2669068019227717e-16,-2.808177836885432e-16,-1.642374176725729e-16,-9.3752599666526e-16,-2.4027790402075083e-16,-1.5291074219497176e-16,-5.393921905594789e-17,-1.339329195932367e-16,-2.1787205349621085e-17,-7.780215843654879e-18
t27,-2.4680971843522356e-17,-1.6523890301164932e-16,-2.1420437799827557e-16,-1.1521942915707043e-16,-9.451312673001821e-16,-1.7726796861280182e-16,-1.0663949596846234e-16,-3.694353640386608e-17,-9.234431621490183e-17,-3.026497434992266e-17,-1.0068513214774131e-17
t28,-3.324813973292489e-17,-2.3943404085545323e-16,-2.962106596145626e-16,-1.7349016883931708e-16,-9.799222129994394e-16,-2.535254271590707e-16,-1.6149496502129831e-16,-5.682238901192717e-17,-1.414315766869208e-16,-3.015792776209329e-17,-1.042106746423561e-17
t29,-3.3455584063593274e-17,-2.0342430196926146e-16,-2.531275513918878e-16,-1.5135656902103465e-16,-9.472755376906615e-16,-2.1572779796336307e-16,-1.4122741604864195e-16,-4.919981913157166e-17,-1.23691430762297e-16,-3.013216687904613e-17,-1.0364159226777717e-17
t30,-3.830219135556846e-17,-2.271129584799249e-16,-2.8157723551879027e-16,-1.646855667262727e-16,-9.384036412036116e-16,-2.4094711663155913e-16,-1.5356060293381324e-16,-5.407196275729226e-17,-1.342171963666119e-16,-2.859804103540739e-17,-9.470111757752096e-18
